,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,iti,pair_type,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img_path,right_img_path,accuracy,no_resposne,onset,duration,left_chosen,chosen_category,unchosen_category,chosen_size_group,unchosen_size_group,chosen_size_num,unchosen_size_num,chosen_exemplar,unchosen_exemplar,no_response,size_final_tally
10,,size_choice_confirmation,,html-keyboard-response,10,76642,0.0-1.0-11.0-0.0,0,0,1,,,,,,2.0,,,,,,,,,,,,,,,,,,,,6.0,0.625,,,,,,,,,,,
11,,iti,,html-keyboard-response,11,77647,0.0-1.0-12.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,,,,,,,,,,,
12,,size_choice,,html-keyboard-response,12,78634,0.0-1.0-14.0,0,0,1,,986.0,,,68.0,3.0,3.0,1.0,1500.0,M-XL,1.0,XL,M,4.0,2.0,van,basketball,van4,basketball9,193.0,58.0,/static/Size_judgement/Stimuli/Size_stims/XL/van/van7.jpg,/static/Size_judgement/Stimuli/Size_stims/M/basketball/basketball5.jpg,1.0,,7.986,0.986,1.0,van,basketball,XL,M,4.0,2.0,van4,basketball9,0.0,
13,,size_choice_confirmation,,html-keyboard-response,13,79152,0.0-1.0-15.0-0.0,0,0,1,,,,,,3.0,,,,,,,,,,,,,,,,,,,,8.5,0.514,,,,,,,,,,,
14,,iti,,html-keyboard-response,14,80658,0.0-1.0-16.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.5,,,,,,,,,,,
15,,size_choice,,html-keyboard-response,15,81675,0.0-1.0-18.0,0,0,1,,1015.0,,,68.0,4.0,4.0,1.0,1500.0,M-XL,1.0,XL,M,4.0,2.0,crane,handsaw,crane4,handsaw4,163.0,83.0,/static/Size_judgement/Stimuli/Size_stims/XL/crane/crane5.jpg,/static/Size_judgement/Stimuli/Size_stims/M/handsaw/handsaw3.jpg,1.0,,11.015,1.015,1.0,crane,handsaw,XL,M,4.0,2.0,crane4,handsaw4,0.0,
16,,size_choice_confirmation,,html-keyboard-response,16,82162,0.0-1.0-19.0-0.0,0,0,1,,,,,,4.0,,,,,,,,,,,,,,,,,,,,11.5,0.485,,,,,,,,,,,
17,,iti,,html-keyboard-response,17,83666,0.0-1.0-20.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,1.5,,,,,,,,,,,
18,,size_choice,,html-keyboard-response,18,85172,0.0-1.0-22.0,0,0,1,,,,,,5.0,5.0,1.0,1000.0,M-L,1.0,L,M,3.0,2.0,deskchair,handsaw,deskchair9,handsaw9,18.0,88.0,/static/Size_judgement/Stimuli/Size_stims/L/deskchair/deskchair3.jpg,/static/Size_judgement/Stimuli/Size_stims/M/handsaw/handsaw6.jpg,,1.0,14.5,1.5,,,,,,,,,,,
19,,iti,,html-keyboard-response,19,85175,0.0-1.0-24.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,0.0,,,,,,,,,,,
20,,size_choice,,html-keyboard-response,20,86259,0.0-1.0-26.0,0,0,1,,1082.0,,,75.0,6.0,6.0,1.0,1500.0,M-L,0.0,M,L,2.0,3.0,coffeemaker,mailbox,coffeemaker7,mailbox7,66.0,46.0,/static/Size_judgement/Stimuli/Size_stims/M/coffeemaker/coffeemaker9.jpg,/static/Size_judgement/Stimuli/Size_stims/L/mailbox/mailbox7.jpg,1.0,,15.582,1.082,0.0,mailbox,coffeemaker,L,M,3.0,2.0,mailbox7,coffeemaker7,0.0,
21,,size_choice_confirmation,,html-keyboard-response,21,86679,0.0-1.0-27.0-0.0,0,0,1,,,,,,6.0,,,,,,,,,,,,,,,,,,,,16.0,0.418,,,,,,,,,,,
22,,iti,,html-keyboard-response,22,88184,0.0-1.0-28.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,1.5,,,,,,,,,,,
23,,size_choice,,html-keyboard-response,23,88954,0.0-1.0-30.0,0,0,1,,768.0,,,75.0,7.0,7.0,1.0,1500.0,M-L,1.0,L,M,3.0,2.0,deskchair,ketchup,deskchair10,ketchup3,19.0,92.0,/static/Size_judgement/Stimuli/Size_stims/L/deskchair/deskchair2.jpg,/static/Size_judgement/Stimuli/Size_stims/M/ketchup/ketchup10.jpg,0.0,,18.268,0.768,0.0,ketchup,deskchair,M,L,2.0,3.0,ketchup3,deskchair10,0.0,
24,,size_choice_confirmation,,html-keyboard-response,24,89688,0.0-1.0-31.0-0.0,0,0,1,,,,,,7.0,,,,,,,,,,,,,,,,,,,,19.0,0.732,,,,,,,,,,,
25,,iti,,html-keyboard-response,25,91191,0.0-1.0-32.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,1.5,,,,,,,,,,,
26,,size_choice,,html-keyboard-response,26,91817,0.0-1.0-34.0,0,0,1,,623.0,,,75.0,8.0,8.0,1.0,2000.0,S-L,1.0,L,S,3.0,1.0,cooler,paperclip,cooler8,paperclip3,7.0,112.0,/static/Size_judgement/Stimuli/Size_stims/L/cooler/cooler5.jpg,/static/Size_judgement/Stimuli/Size_stims/S/paperclip/paperclip1.jpg,0.0,,21.123,0.623,0.0,paperclip,cooler,S,L,1.0,3.0,paperclip3,cooler8,0.0,
27,,size_choice_confirmation,,html-keyboard-response,27,92700,0.0-1.0-35.0-0.0,0,0,1,,,,,,8.0,,,,,,,,,,,,,,,,,,,,22.0,0.877,,,,,,,,,,,
28,,iti,,html-keyboard-response,28,94704,0.0-1.0-36.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,2.0,,,,,,,,,,,
29,,size_choice,,html-keyboard-response,29,95240,0.0-1.0-38.0,0,0,1,,535.0,,,75.0,9.0,9.0,1.0,1500.0,M-L,0.0,M,L,2.0,3.0,basketball,garbagecan,basketball10,garbagecan5,59.0,34.0,/static/Size_judgement/Stimuli/Size_stims/M/basketball/basketball4.jpg,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan3.jpg,1.0,,24.535,0.535,0.0,garbagecan,basketball,L,M,3.0,2.0,garbagecan5,basketball10,0.0,
30,,size_choice_confirmation,,html-keyboard-response,30,96207,0.0-1.0-39.0-0.0,0,0,1,,,,,,9.0,,,,,,,,,,,,,,,,,,,,25.5,0.965,,,,,,,,,,,
31,,iti,,html-keyboard-response,31,97710,0.0-1.0-40.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,1.5,,,,,,,,,,,
32,,size_choice,,html-keyboard-response,32,98300,0.0-1.0-42.0,0,0,1,,589.0,,,75.0,10.0,10.0,1.0,2000.0,S-L,1.0,L,S,3.0,1.0,dishwasher,teabag,dishwasher1,teabag5,20.0,134.0,/static/Size_judgement/Stimuli/Size_stims/L/dishwasher/dishwasher10.jpg,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag2.jpg,0.0,,27.589,0.589,0.0,teabag,dishwasher,S,L,1.0,3.0,teabag5,dishwasher1,0.0,
33,,size_choice_confirmation,,html-keyboard-response,33,99217,0.0-1.0-43.0-0.0,0,0,1,,,,,,10.0,,,,,,,,,,,,,,,,,,,,28.5,0.911,,,,,,,,,,,
34,,iti,,html-keyboard-response,34,101219,0.0-1.0-44.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,30.5,2.0,,,,,,,,,,,
35,,size_choice,,html-keyboard-response,35,101764,0.0-1.0-46.0,0,0,1,,542.0,,,75.0,11.0,11.0,1.0,1000.0,S-S,,S,S,1.0,1.0,thread,die,thread10,die4,149.0,103.0,/static/Size_judgement/Stimuli/Size_stims/S/thread/thread9.jpg,/static/Size_judgement/Stimuli/Size_stims/S/die/die2.jpg,,,31.042,0.542,0.0,die,thread,S,S,1.0,1.0,die4,thread10,0.0,
36,,size_choice_confirmation,,html-keyboard-response,36,102724,0.0-1.0-47.0-0.0,0,0,1,,,,,,11.0,,,,,,,,,,,,,,,,,,,,32.0,0.958,,,,,,,,,,,
37,,iti,,html-keyboard-response,37,103731,0.0-1.0-48.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,1.0,,,,,,,,,,,
38,,size_choice,,html-keyboard-response,38,104210,0.0-1.0-50.0,0,0,1,,478.0,,,75.0,12.0,12.0,1.0,1000.0,S-XL,0.0,S,XL,1.0,4.0,teabag,crane,teabag6,crane6,135.0,165.0,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag6.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/crane/crane2.jpg,1.0,,33.478,0.478,0.0,crane,teabag,XL,S,4.0,1.0,crane6,teabag6,0.0,
39,,size_choice_confirmation,,html-keyboard-response,39,105236,0.0-1.0-51.0-0.0,0,0,1,,,,,,12.0,,,,,,,,,,,,,,,,,,,,34.5,1.022,,,,,,,,,,,
40,,iti,,html-keyboard-response,40,106241,0.0-1.0-52.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,1.0,,,,,,,,,,,
41,,size_choice,,html-keyboard-response,41,106644,0.0-1.0-54.0,0,0,1,,402.0,,,75.0,13.0,13.0,1.0,1500.0,S-M,0.0,S,M,1.0,2.0,paperclip,ketchup,paperclip2,ketchup7,111.0,96.0,/static/Size_judgement/Stimuli/Size_stims/S/paperclip/paperclip8.jpg,/static/Size_judgement/Stimuli/Size_stims/M/ketchup/ketchup4.jpg,1.0,,35.902,0.402,0.0,ketchup,paperclip,M,S,2.0,1.0,ketchup7,paperclip2,0.0,
42,,size_choice_confirmation,,html-keyboard-response,42,107749,0.0-1.0-55.0-0.0,0,0,1,,,,,,13.0,,,,,,,,,,,,,,,,,,,,37.0,1.098,,,,,,,,,,,
43,,iti,,html-keyboard-response,43,109254,0.0-1.0-56.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,1.5,,,,,,,,,,,
44,,size_choice,,html-keyboard-response,44,109652,0.0-1.0-58.0,0,0,1,,396.0,,,75.0,14.0,14.0,1.0,2000.0,S-L,0.0,S,L,1.0,3.0,thread,garbagecan,thread6,garbagecan8,145.0,37.0,/static/Size_judgement/Stimuli/Size_stims/S/thread/thread2.jpg,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan13.jpg,1.0,,38.896,0.396,0.0,garbagecan,thread,L,S,3.0,1.0,garbagecan8,thread6,0.0,
45,,size_choice_confirmation,,html-keyboard-response,45,110761,0.0-1.0-59.0-0.0,0,0,1,,,,,,14.0,,,,,,,,,,,,,,,,,,,,40.0,1.104,,,,,,,,,,,
46,,iti,,html-keyboard-response,46,112766,0.0-1.0-60.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,2.0,,,,,,,,,,,
47,,size_choice,,html-keyboard-response,47,113152,0.0-1.0-62.0,0,0,1,,386.0,,,75.0,15.0,15.0,1.0,1000.0,S-L,0.0,S,L,1.0,3.0,screws,dishwasher,screws4,dishwasher2,123.0,21.0,/static/Size_judgement/Stimuli/Size_stims/S/screws/screws6.jpg,/static/Size_judgement/Stimuli/Size_stims/L/dishwasher/dishwasher9.jpg,1.0,,42.386,0.386,0.0,dishwasher,screws,L,S,3.0,1.0,dishwasher2,screws4,0.0,
48,,size_choice_confirmation,,html-keyboard-response,48,114270,0.0-1.0-63.0-0.0,0,0,1,,,,,,15.0,,,,,,,,,,,,,,,,,,,,43.5,1.114,,,,,,,,,,,
49,,iti,,html-keyboard-response,49,115275,0.0-1.0-64.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,1.0,,,,,,,,,,,
50,,size_choice,,html-keyboard-response,50,115724,0.0-1.0-66.0,0,0,1,,448.0,,,75.0,16.0,16.0,1.0,3000.0,XL-XL,,XL,XL,4.0,4.0,dumptruck,crane,dumptruck9,crane9,178.0,168.0,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck5.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/crane/crane8.jpg,,,44.948,0.448,0.0,crane,dumptruck,XL,XL,4.0,4.0,crane9,dumptruck9,0.0,
51,,size_choice_confirmation,,html-keyboard-response,51,116778,0.0-1.0-67.0-0.0,0,0,1,,,,,,16.0,,,,,,,,,,,,,,,,,,,,46.0,1.052,,,,,,,,,,,
52,,iti,,html-keyboard-response,52,119784,0.0-1.0-68.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,3.0,,,,,,,,,,,
53,,size_choice,,html-keyboard-response,53,120326,0.0-1.0-70.0,0,0,1,,541.0,,,75.0,17.0,17.0,1.0,1000.0,L-L,,L,L,3.0,3.0,deskchair,mailbox,deskchair2,mailbox5,11.0,44.0,/static/Size_judgement/Stimuli/Size_stims/L/deskchair/deskchair8.jpg,/static/Size_judgement/Stimuli/Size_stims/L/mailbox/mailbox4.jpg,,,49.541,0.541,0.0,mailbox,deskchair,L,L,3.0,3.0,mailbox5,deskchair2,0.0,
54,,size_choice_confirmation,,html-keyboard-response,54,121291,0.0-1.0-71.0-0.0,0,0,1,,,,,,17.0,,,,,,,,,,,,,,,,,,,,50.5,0.959,,,,,,,,,,,
55,,iti,,html-keyboard-response,55,122294,0.0-1.0-72.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,51.5,1.0,,,,,,,,,,,
56,,size_choice,,html-keyboard-response,56,122834,0.0-1.0-74.0,0,0,1,,538.0,,,75.0,18.0,18.0,1.0,3000.0,M-XL,1.0,XL,M,4.0,2.0,van,coffeemaker,van2,coffeemaker8,191.0,67.0,/static/Size_judgement/Stimuli/Size_stims/XL/van/van4.jpg,/static/Size_judgement/Stimuli/Size_stims/M/coffeemaker/coffeemaker5.jpg,0.0,,52.038,0.538,0.0,coffeemaker,van,M,XL,2.0,4.0,coffeemaker8,van2,0.0,
57,,size_choice_confirmation,,html-keyboard-response,57,123797,0.0-1.0-75.0-0.0,0,0,1,,,,,,18.0,,,,,,,,,,,,,,,,,,,,53.0,0.962,,,,,,,,,,,
58,,iti,,html-keyboard-response,58,126801,0.0-1.0-76.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,3.0,,,,,,,,,,,
59,,size_choice,,html-keyboard-response,59,127194,0.0-1.0-78.0,0,0,1,,390.0,,,75.0,19.0,19.0,1.0,1000.0,M-XL,1.0,XL,M,4.0,2.0,tractor,handsaw,tractor6,handsaw1,185.0,80.0,/static/Size_judgement/Stimuli/Size_stims/XL/tractor/tractor3.jpg,/static/Size_judgement/Stimuli/Size_stims/M/handsaw/handsaw8.jpg,0.0,,56.39,0.39,0.0,handsaw,tractor,M,XL,2.0,4.0,handsaw1,tractor6,0.0,
60,,size_choice_confirmation,,html-keyboard-response,60,128306,0.0-1.0-79.0-0.0,0,0,1,,,,,,19.0,,,,,,,,,,,,,,,,,,,,57.5,1.11,,,,,,,,,,,
61,,iti,,html-keyboard-response,61,129311,0.0-1.0-80.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,58.5,1.0,,,,,,,,,,,
62,,size_choice,,html-keyboard-response,62,129956,0.0-1.0-82.0,0,0,1,,644.0,,,75.0,20.0,20.0,1.0,1000.0,M-XL,0.0,M,XL,2.0,4.0,hairdryer,van,hairdryer9,van1,78.0,190.0,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer5.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/van/van5.jpg,1.0,,59.144,0.644,0.0,van,hairdryer,XL,M,4.0,2.0,van1,hairdryer9,0.0,
63,,size_choice_confirmation,,html-keyboard-response,63,130814,0.0-1.0-83.0-0.0,0,0,1,,,,,,20.0,,,,,,,,,,,,,,,,,,,,60.0,0.856,,,,,,,,,,,
64,,iti,,html-keyboard-response,64,131815,0.0-1.0-84.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,1.0,,,,,,,,,,,
65,,size_choice,,html-keyboard-response,65,132241,0.0-1.0-86.0,0,0,1,,425.0,,,75.0,21.0,21.0,1.0,1000.0,S-M,0.0,S,M,1.0,2.0,die,hairdryer,die6,hairdryer4,105.0,73.0,/static/Size_judgement/Stimuli/Size_stims/S/die/die1.jpg,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer16.jpg,1.0,,61.425,0.425,0.0,hairdryer,die,M,S,2.0,1.0,hairdryer4,die6,0.0,
66,,size_choice_confirmation,,html-keyboard-response,66,133321,0.0-1.0-87.0-0.0,0,0,1,,,,,,21.0,,,,,,,,,,,,,,,,,,,,62.5,1.075,,,,,,,,,,,
67,,iti,,html-keyboard-response,67,134325,0.0-1.0-88.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,63.5,1.0,,,,,,,,,,,
68,,size_choice,,html-keyboard-response,68,134835,0.0-1.0-90.0,0,0,1,,509.0,,,75.0,22.0,22.0,1.0,1000.0,S-L,1.0,L,S,3.0,1.0,mailbox,teabag,mailbox3,teabag8,42.0,137.0,/static/Size_judgement/Stimuli/Size_stims/L/mailbox/mailbox1.jpg,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag7.jpg,0.0,,64.009,0.509,0.0,teabag,mailbox,S,L,1.0,3.0,teabag8,mailbox3,0.0,
69,,size_choice_confirmation,,html-keyboard-response,69,135828,0.0-1.0-91.0-0.0,0,0,1,,,,,,22.0,,,,,,,,,,,,,,,,,,,,65.0,0.991,,,,,,,,,,,
70,,iti,,html-keyboard-response,70,136830,0.0-1.0-92.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,1.0,,,,,,,,,,,
71,,size_choice,,html-keyboard-response,71,137252,0.0-1.0-94.0,0,0,1,,420.0,,,75.0,23.0,23.0,1.0,1500.0,M-XL,1.0,XL,M,4.0,2.0,tractor,basketball,tractor4,basketball4,183.0,53.0,/static/Size_judgement/Stimuli/Size_stims/XL/tractor/tractor4.jpg,/static/Size_judgement/Stimuli/Size_stims/M/basketball/basketball1.jpg,0.0,,66.42,0.42,0.0,basketball,tractor,M,XL,2.0,4.0,basketball4,tractor4,0.0,
72,,size_choice_confirmation,,html-keyboard-response,72,138334,0.0-1.0-95.0-0.0,0,0,1,,,,,,23.0,,,,,,,,,,,,,,,,,,,,67.5,1.08,,,,,,,,,,,
73,,iti,,html-keyboard-response,73,139835,0.0-1.0-96.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,1.5,,,,,,,,,,,
74,,size_choice,,html-keyboard-response,74,140178,0.0-1.0-98.0,0,0,1,,342.0,,,75.0,24.0,24.0,1.0,2000.0,S-XL,1.0,XL,S,4.0,1.0,dumptruck,die,dumptruck6,die8,175.0,107.0,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck2.jpg,/static/Size_judgement/Stimuli/Size_stims/S/die/die5.jpg,0.0,,69.342,0.342,0.0,die,dumptruck,S,XL,1.0,4.0,die8,dumptruck6,0.0,
75,,size_choice_confirmation,,html-keyboard-response,75,141340,0.0-1.0-99.0-0.0,0,0,1,,,,,,24.0,,,,,,,,,,,,,,,,,,,,70.5,1.158,,,,,,,,,,,
76,,iti,,html-keyboard-response,76,143343,0.0-1.0-100.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,72.5,2.0,,,,,,,,,,,
77,,size_choice,,html-keyboard-response,77,144108,0.0-1.0-102.0,0,0,1,,763.0,,,75.0,25.0,25.0,1.0,1000.0,S-XL,1.0,XL,S,4.0,1.0,van,die,van10,die10,199.0,109.0,/static/Size_judgement/Stimuli/Size_stims/XL/van/van8.jpg,/static/Size_judgement/Stimuli/Size_stims/S/die/die6.jpg,0.0,,73.263,0.763,0.0,die,van,S,XL,1.0,4.0,die10,van10,0.0,
78,,size_choice_confirmation,,html-keyboard-response,78,144850,0.0-1.0-103.0-0.0,0,0,1,,,,,,25.0,,,,,,,,,,,,,,,,,,,,74.0,0.737,,,,,,,,,,,
79,,iti,,html-keyboard-response,79,145856,0.0-1.0-104.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,1.0,,,,,,,,,,,
80,,size_choice,,html-keyboard-response,80,146290,0.0-1.0-106.0,0,0,1,,433.0,,,75.0,26.0,26.0,1.0,2000.0,M-M,,M,M,2.0,2.0,coffeemaker,hairdryer,coffeemaker5,hairdryer1,64.0,70.0,/static/Size_judgement/Stimuli/Size_stims/M/coffeemaker/coffeemaker10.jpg,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer11.jpg,,,75.433,0.433,0.0,hairdryer,coffeemaker,M,M,2.0,2.0,hairdryer1,coffeemaker5,0.0,
81,,size_choice_confirmation,,html-keyboard-response,81,147359,0.0-1.0-107.0-0.0,0,0,1,,,,,,26.0,,,,,,,,,,,,,,,,,,,,76.5,1.067,,,,,,,,,,,
82,,iti,,html-keyboard-response,82,149362,0.0-1.0-108.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,78.5,2.0,,,,,,,,,,,
83,,size_choice,,html-keyboard-response,83,149948,0.0-1.0-110.0,0,0,1,,584.0,,,75.0,27.0,27.0,1.0,3000.0,XL-XL,,XL,XL,4.0,4.0,car,dumptruck,car7,dumptruck2,156.0,171.0,/static/Size_judgement/Stimuli/Size_stims/XL/car/car13.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck8.jpg,,,79.084,0.584,0.0,dumptruck,car,XL,XL,4.0,4.0,dumptruck2,car7,0.0,
84,,size_choice_confirmation,,html-keyboard-response,84,150870,0.0-1.0-111.0-0.0,0,0,1,,,,,,27.0,,,,,,,,,,,,,,,,,,,,80.0,0.916,,,,,,,,,,,
85,,iti,,html-keyboard-response,85,153872,0.0-1.0-112.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,3.0,,,,,,,,,,,
86,,size_choice,,html-keyboard-response,86,154561,0.0-1.0-114.0,0,0,1,,687.0,,,75.0,28.0,28.0,1.0,1000.0,M-L,1.0,L,M,3.0,2.0,mailbox,ketchup,mailbox2,ketchup6,41.0,95.0,/static/Size_judgement/Stimuli/Size_stims/L/mailbox/mailbox2.jpg,/static/Size_judgement/Stimuli/Size_stims/M/ketchup/ketchup1.jpg,0.0,,83.687,0.687,0.0,ketchup,mailbox,M,L,2.0,3.0,ketchup6,mailbox2,0.0,
87,,size_choice_confirmation,,html-keyboard-response,87,155379,0.0-1.0-115.0-0.0,0,0,1,,,,,,28.0,,,,,,,,,,,,,,,,,,,,84.5,0.813,,,,,,,,,,,
88,,iti,,html-keyboard-response,88,156382,0.0-1.0-116.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,85.5,1.0,,,,,,,,,,,
89,,size_choice,,html-keyboard-response,89,156986,0.0-1.0-118.0,0,0,1,,602.0,,,68.0,29.0,29.0,1.0,3500.0,L-XL,1.0,XL,L,4.0,3.0,van,cooler,van7,cooler5,196.0,4.0,/static/Size_judgement/Stimuli/Size_stims/XL/van/van1.jpg,/static/Size_judgement/Stimuli/Size_stims/L/cooler/cooler10.jpg,1.0,,86.102,0.602,1.0,van,cooler,XL,L,4.0,3.0,van7,cooler5,0.0,
90,,size_choice_confirmation,,html-keyboard-response,90,157889,0.0-1.0-119.0-0.0,0,0,1,,,,,,29.0,,,,,,,,,,,,,,,,,,,,87.0,0.898,,,,,,,,,,,
91,,iti,,html-keyboard-response,91,161391,0.0-1.0-120.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,90.5,3.5,,,,,,,,,,,
92,,size_choice,,html-keyboard-response,92,161849,0.0-1.0-122.0,0,0,1,,457.0,,,68.0,30.0,30.0,1.0,1000.0,S-S,,S,S,1.0,1.0,paperclip,teabag,paperclip9,teabag2,118.0,131.0,/static/Size_judgement/Stimuli/Size_stims/S/paperclip/paperclip4.jpg,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag8.jpg,,,90.957,0.457,1.0,paperclip,teabag,S,S,1.0,1.0,paperclip9,teabag2,0.0,
93,,size_choice_confirmation,,html-keyboard-response,93,162894,0.0-1.0-123.0-0.0,0,0,1,,,,,,30.0,,,,,,,,,,,,,,,,,,,,92.0,1.043,,,,,,,,,,,
94,,iti,,html-keyboard-response,94,163899,0.0-1.0-124.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,1.0,,,,,,,,,,,
