,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,iti,pair_type,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img_path,right_img_path,accuracy,onset,duration,no_response,left_chosen,chosen_category,unchosen_category,chosen_size_group,unchosen_size_group,chosen_size_num,unchosen_size_num,chosen_exemplar,unchosen_exemplar,size_final_tally
10,,size_choice_confirmation,,html-keyboard-response,10,135450,0.0-1.0-11.0-0.0,0,0,47956,,,,,,2.0,,,,,,,,,,,,,,,,,,,7.5,0.297,,,,,,,,,,,
11,,iti,,html-keyboard-response,11,136452,0.0-1.0-12.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,8.5,1.0,,,,,,,,,,,
12,,size_choice,,html-keyboard-response,12,137252,0.0-1.0-14.0,0,0,47956,,796.0,,,68.0,3.0,3.0,1.0,2000.0,M-XL,1.0,XL,M,4.0,2.0,dumptruck,ketchup,dumptruck4,ketchup2,173.0,91.0,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck1.jpg,/static/Size_judgement/Stimuli/Size_stims/M/ketchup/ketchup9.jpg,1.0,9.296,0.796,0.0,1.0,dumptruck,ketchup,XL,M,4.0,2.0,dumptruck4,ketchup2,
13,,size_choice_confirmation,,html-keyboard-response,13,137961,0.0-1.0-15.0-0.0,0,0,47956,,,,,,3.0,,,,,,,,,,,,,,,,,,,10.0,0.704,,,,,,,,,,,
14,,iti,,html-keyboard-response,14,139964,0.0-1.0-16.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2.0,,,,,,,,,,,
15,,size_choice,,html-keyboard-response,15,140884,0.0-1.0-18.0,0,0,47956,,918.0,,,75.0,4.0,4.0,1.0,1000.0,L-XL,0.0,L,XL,3.0,4.0,garbagecan,dumptruck,garbagecan9,dumptruck7,38.0,176.0,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan12.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck6.jpg,1.0,12.918,0.918,0.0,0.0,dumptruck,garbagecan,XL,L,4.0,3.0,dumptruck7,garbagecan9,
16,,size_choice_confirmation,,html-keyboard-response,16,141470,0.0-1.0-19.0-0.0,0,0,47956,,,,,,4.0,,,,,,,,,,,,,,,,,,,13.5,0.582,,,,,,,,,,,
17,,iti,,html-keyboard-response,17,142472,0.0-1.0-20.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,14.5,1.0,,,,,,,,,,,
18,,size_choice,,html-keyboard-response,18,143723,0.0-1.0-22.0,0,0,47956,,1247.0,,,68.0,5.0,5.0,1.0,1500.0,S-L,1.0,L,S,3.0,1.0,mailbox,thread,mailbox8,thread8,47.0,147.0,/static/Size_judgement/Stimuli/Size_stims/L/mailbox/mailbox10.jpg,/static/Size_judgement/Stimuli/Size_stims/S/thread/thread10.jpg,1.0,15.747,1.247,0.0,1.0,mailbox,thread,L,S,3.0,1.0,mailbox8,thread8,
19,,size_choice_confirmation,,html-keyboard-response,19,143979,0.0-1.0-23.0-0.0,0,0,47956,,,,,,5.0,,,,,,,,,,,,,,,,,,,16.0,0.253,,,,,,,,,,,
20,,iti,,html-keyboard-response,20,145482,0.0-1.0-24.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,17.5,1.5,,,,,,,,,,,
21,,size_choice,,html-keyboard-response,21,146388,0.0-1.0-26.0,0,0,47956,,903.0,,,75.0,6.0,6.0,1.0,2000.0,S-L,1.0,L,S,3.0,1.0,garbagecan,teabag,garbagecan6,teabag10,35.0,139.0,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan14.jpg,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag4.jpg,0.0,18.403,0.903,0.0,0.0,teabag,garbagecan,S,L,1.0,3.0,teabag10,garbagecan6,
22,,size_choice_confirmation,,html-keyboard-response,22,146989,0.0-1.0-27.0-0.0,0,0,47956,,,,,,6.0,,,,,,,,,,,,,,,,,,,19.0,0.597,,,,,,,,,,,
23,,iti,,html-keyboard-response,23,148992,0.0-1.0-28.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,21.0,2.0,,,,,,,,,,,
24,,size_choice,,html-keyboard-response,24,149604,0.0-1.0-30.0,0,0,47956,,608.0,,,68.0,7.0,7.0,1.0,1000.0,M-XL,1.0,XL,M,4.0,2.0,car,ketchup,car2,ketchup5,151.0,94.0,/static/Size_judgement/Stimuli/Size_stims/XL/car/car3.jpg,/static/Size_judgement/Stimuli/Size_stims/M/ketchup/ketchup3.jpg,1.0,21.608,0.608,0.0,1.0,car,ketchup,XL,M,4.0,2.0,car2,ketchup5,
25,,size_choice_confirmation,,html-keyboard-response,25,150500,0.0-1.0-31.0-0.0,0,0,47956,,,,,,7.0,,,,,,,,,,,,,,,,,,,22.5,0.892,,,,,,,,,,,
26,,iti,,html-keyboard-response,26,151502,0.0-1.0-32.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,23.5,1.0,,,,,,,,,,,
27,,size_choice,,html-keyboard-response,27,152252,0.0-1.0-34.0,0,0,47956,,747.0,,,75.0,8.0,8.0,1.0,1000.0,XL-XL,,XL,XL,4.0,4.0,van,car,van3,car4,192.0,153.0,/static/Size_judgement/Stimuli/Size_stims/XL/van/van6.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/car/car6.jpg,,24.247,0.747,0.0,0.0,car,van,XL,XL,4.0,4.0,car4,van3,
28,,size_choice_confirmation,,html-keyboard-response,28,153009,0.0-1.0-35.0-0.0,0,0,47956,,,,,,8.0,,,,,,,,,,,,,,,,,,,25.0,0.753,,,,,,,,,,,
29,,iti,,html-keyboard-response,29,154012,0.0-1.0-36.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,26.0,1.0,,,,,,,,,,,
30,,size_choice,,html-keyboard-response,30,154620,0.0-1.0-38.0,0,0,47956,,605.0,,,75.0,9.0,9.0,1.0,1500.0,S-XL,0.0,S,XL,1.0,4.0,teabag,dumptruck,teabag8,dumptruck8,137.0,177.0,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag7.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck7.jpg,1.0,26.605,0.605,0.0,0.0,dumptruck,teabag,XL,S,4.0,1.0,dumptruck8,teabag8,
31,,size_choice_confirmation,,html-keyboard-response,31,155520,0.0-1.0-39.0-0.0,0,0,47956,,,,,,9.0,,,,,,,,,,,,,,,,,,,27.5,0.895,,,,,,,,,,,
32,,iti,,html-keyboard-response,32,157022,0.0-1.0-40.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,29.0,1.5,,,,,,,,,,,
33,,size_choice,,html-keyboard-response,33,158179,0.0-1.0-42.0,0,0,47956,,1153.0,,,68.0,10.0,10.0,1.0,1000.0,M-M,,M,M,2.0,2.0,handsaw,ketchup,handsaw4,ketchup9,83.0,98.0,/static/Size_judgement/Stimuli/Size_stims/M/handsaw/handsaw3.jpg,/static/Size_judgement/Stimuli/Size_stims/M/ketchup/ketchup7.jpg,,30.153,1.153,0.0,1.0,handsaw,ketchup,M,M,2.0,2.0,handsaw4,ketchup9,
34,,size_choice_confirmation,,html-keyboard-response,34,158530,0.0-1.0-43.0-0.0,0,0,47956,,,,,,10.0,,,,,,,,,,,,,,,,,,,30.5,0.347,,,,,,,,,,,
35,,iti,,html-keyboard-response,35,159532,0.0-1.0-44.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,31.5,1.0,,,,,,,,,,,
36,,size_choice,,html-keyboard-response,36,160404,0.0-1.0-46.0,0,0,47956,,869.0,,,75.0,11.0,11.0,1.0,1000.0,M-L,0.0,M,L,2.0,3.0,hairdryer,garbagecan,hairdryer6,garbagecan3,75.0,32.0,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer8.jpg,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan7.jpg,1.0,32.369,0.869,0.0,0.0,garbagecan,hairdryer,L,M,3.0,2.0,garbagecan3,hairdryer6,
37,,size_choice_confirmation,,html-keyboard-response,37,161040,0.0-1.0-47.0-0.0,0,0,47956,,,,,,11.0,,,,,,,,,,,,,,,,,,,33.0,0.631,,,,,,,,,,,
38,,iti,,html-keyboard-response,38,162042,0.0-1.0-48.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,34.0,1.0,,,,,,,,,,,
39,,size_choice,,html-keyboard-response,39,162826,0.0-1.0-50.0,0,0,47956,,783.0,,,68.0,12.0,12.0,1.0,2000.0,M-L,0.0,M,L,2.0,3.0,coffeemaker,garbagecan,coffeemaker5,garbagecan4,64.0,33.0,/static/Size_judgement/Stimuli/Size_stims/M/coffeemaker/coffeemaker10.jpg,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan6.jpg,0.0,34.783,0.783,0.0,1.0,coffeemaker,garbagecan,M,L,2.0,3.0,coffeemaker5,garbagecan4,
40,,size_choice_confirmation,,html-keyboard-response,40,163546,0.0-1.0-51.0-0.0,0,0,47956,,,,,,12.0,,,,,,,,,,,,,,,,,,,35.5,0.717,,,,,,,,,,,
41,,iti,,html-keyboard-response,41,165549,0.0-1.0-52.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,37.5,2.0,,,,,,,,,,,
42,,size_choice,,html-keyboard-response,42,166195,0.0-1.0-54.0,0,0,47956,,643.0,,,75.0,13.0,13.0,1.0,1000.0,S-L,0.0,S,L,1.0,3.0,screws,garbagecan,screws10,garbagecan2,129.0,31.0,/static/Size_judgement/Stimuli/Size_stims/S/screws/screws9.jpg,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan5.jpg,1.0,38.143,0.643,0.0,0.0,garbagecan,screws,L,S,3.0,1.0,garbagecan2,screws10,
43,,size_choice_confirmation,,html-keyboard-response,43,167058,0.0-1.0-55.0-0.0,0,0,47956,,,,,,13.0,,,,,,,,,,,,,,,,,,,39.0,0.857,,,,,,,,,,,
44,,iti,,html-keyboard-response,44,168060,0.0-1.0-56.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,40.0,1.0,,,,,,,,,,,
45,,size_choice,,html-keyboard-response,45,169044,0.0-1.0-58.0,0,0,47956,,980.0,,,68.0,14.0,14.0,1.0,1000.0,M-XL,1.0,XL,M,4.0,2.0,dumptruck,hairdryer,dumptruck5,hairdryer4,174.0,73.0,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck3.jpg,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer16.jpg,1.0,40.98,0.98,0.0,1.0,dumptruck,hairdryer,XL,M,4.0,2.0,dumptruck5,hairdryer4,
46,,size_choice_confirmation,,html-keyboard-response,46,169568,0.0-1.0-59.0-0.0,0,0,47956,,,,,,14.0,,,,,,,,,,,,,,,,,,,41.5,0.52,,,,,,,,,,,
47,,iti,,html-keyboard-response,47,170570,0.0-1.0-60.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,42.5,1.0,,,,,,,,,,,
48,,size_choice,,html-keyboard-response,48,171219,0.0-1.0-62.0,0,0,47956,,646.0,,,68.0,15.0,15.0,1.0,1000.0,S-XL,1.0,XL,S,4.0,1.0,van,screws,van5,screws1,194.0,120.0,/static/Size_judgement/Stimuli/Size_stims/XL/van/van3.jpg,/static/Size_judgement/Stimuli/Size_stims/S/screws/screws4.jpg,1.0,43.146,0.646,0.0,1.0,van,screws,XL,S,4.0,1.0,van5,screws1,
49,,size_choice_confirmation,,html-keyboard-response,49,172078,0.0-1.0-63.0-0.0,0,0,47956,,,,,,15.0,,,,,,,,,,,,,,,,,,,44.0,0.854,,,,,,,,,,,
50,,iti,,html-keyboard-response,50,173080,0.0-1.0-64.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,45.0,1.0,,,,,,,,,,,
51,,size_choice,,html-keyboard-response,51,173875,0.0-1.0-66.0,0,0,47956,,791.0,,,75.0,16.0,16.0,1.0,3000.0,S-M,0.0,S,M,1.0,2.0,teabag,coffeemaker,teabag9,coffeemaker8,138.0,67.0,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag5.jpg,/static/Size_judgement/Stimuli/Size_stims/M/coffeemaker/coffeemaker5.jpg,1.0,45.791,0.791,0.0,0.0,coffeemaker,teabag,M,S,2.0,1.0,coffeemaker8,teabag9,
52,,size_choice_confirmation,,html-keyboard-response,52,174587,0.0-1.0-67.0-0.0,0,0,47956,,,,,,16.0,,,,,,,,,,,,,,,,,,,46.5,0.709,,,,,,,,,,,
53,,iti,,html-keyboard-response,53,177589,0.0-1.0-68.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,49.5,3.0,,,,,,,,,,,
54,,size_choice,,html-keyboard-response,54,178716,0.0-1.0-70.0,0,0,47956,,1122.0,,,68.0,17.0,17.0,1.0,1000.0,M-XL,1.0,XL,M,4.0,2.0,dumptruck,hairdryer,dumptruck10,hairdryer8,179.0,77.0,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck4.jpg,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer1.jpg,1.0,50.622,1.122,0.0,1.0,dumptruck,hairdryer,XL,M,4.0,2.0,dumptruck10,hairdryer8,
55,,size_choice_confirmation,,html-keyboard-response,55,179098,0.0-1.0-71.0-0.0,0,0,47956,,,,,,17.0,,,,,,,,,,,,,,,,,,,51.0,0.378,,,,,,,,,,,
56,,iti,,html-keyboard-response,56,180101,0.0-1.0-72.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,52.0,1.0,,,,,,,,,,,
57,,size_choice,,html-keyboard-response,57,180995,0.0-1.0-74.0,0,0,47956,,891.0,,,75.0,18.0,18.0,1.0,1500.0,S-L,0.0,S,L,1.0,3.0,die,mailbox,die10,mailbox10,109.0,49.0,/static/Size_judgement/Stimuli/Size_stims/S/die/die6.jpg,/static/Size_judgement/Stimuli/Size_stims/L/mailbox/mailbox8.jpg,1.0,52.891,0.891,0.0,0.0,mailbox,die,L,S,3.0,1.0,mailbox10,die10,
58,,size_choice_confirmation,,html-keyboard-response,58,181609,0.0-1.0-75.0-0.0,0,0,47956,,,,,,18.0,,,,,,,,,,,,,,,,,,,53.5,0.609,,,,,,,,,,,
59,,iti,,html-keyboard-response,59,183111,0.0-1.0-76.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1.5,,,,,,,,,,,
60,,size_choice,,html-keyboard-response,60,183924,0.0-1.0-78.0,0,0,47956,,810.0,,,68.0,19.0,19.0,1.0,1000.0,S-XL,1.0,XL,S,4.0,1.0,dumptruck,die,dumptruck1,die6,170.0,105.0,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck9.jpg,/static/Size_judgement/Stimuli/Size_stims/S/die/die1.jpg,1.0,55.81,0.81,0.0,1.0,dumptruck,die,XL,S,4.0,1.0,dumptruck1,die6,
61,,size_choice_confirmation,,html-keyboard-response,61,184618,0.0-1.0-79.0-0.0,0,0,47956,,,,,,19.0,,,,,,,,,,,,,,,,,,,56.5,0.69,,,,,,,,,,,
62,,iti,,html-keyboard-response,62,185621,0.0-1.0-80.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,57.5,1.0,,,,,,,,,,,
63,,size_choice,,html-keyboard-response,63,186404,0.0-1.0-82.0,0,0,47956,,780.0,,,75.0,20.0,20.0,1.0,1500.0,M-XL,0.0,M,XL,2.0,4.0,basketball,tractor,basketball7,tractor6,56.0,185.0,/static/Size_judgement/Stimuli/Size_stims/M/basketball/basketball6.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/tractor/tractor3.jpg,1.0,58.28,0.78,0.0,0.0,tractor,basketball,XL,M,4.0,2.0,tractor6,basketball7,
64,,size_choice_confirmation,,html-keyboard-response,64,187131,0.0-1.0-83.0-0.0,0,0,47956,,,,,,20.0,,,,,,,,,,,,,,,,,,,59.0,0.72,,,,,,,,,,,
65,,iti,,html-keyboard-response,65,188635,0.0-1.0-84.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,60.5,1.5,,,,,,,,,,,
66,,size_choice,,html-keyboard-response,66,189499,0.0-1.0-86.0,0,0,47956,,861.0,,,68.0,21.0,21.0,1.0,3000.0,M-M,,M,M,2.0,2.0,handsaw,ketchup,handsaw10,ketchup8,89.0,97.0,/static/Size_judgement/Stimuli/Size_stims/M/handsaw/handsaw10.jpg,/static/Size_judgement/Stimuli/Size_stims/M/ketchup/ketchup5.jpg,,61.361,0.861,0.0,1.0,handsaw,ketchup,M,M,2.0,2.0,handsaw10,ketchup8,
67,,size_choice_confirmation,,html-keyboard-response,67,190142,0.0-1.0-87.0-0.0,0,0,47956,,,,,,21.0,,,,,,,,,,,,,,,,,,,62.0,0.639,,,,,,,,,,,
68,,iti,,html-keyboard-response,68,193145,0.0-1.0-88.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,65.0,3.0,,,,,,,,,,,
69,,size_choice,,html-keyboard-response,69,194524,0.0-1.0-90.0,0,0,47956,,1376.0,,,68.0,22.0,22.0,1.0,1000.0,S-S,,S,S,1.0,1.0,thread,paperclip,thread7,paperclip1,146.0,110.0,/static/Size_judgement/Stimuli/Size_stims/S/thread/thread3.jpg,/static/Size_judgement/Stimuli/Size_stims/S/paperclip/paperclip9.jpg,,66.376,1.376,0.0,1.0,thread,paperclip,S,S,1.0,1.0,thread7,paperclip1,
70,,size_choice_confirmation,,html-keyboard-response,70,194652,0.0-1.0-91.0-0.0,0,0,47956,,,,,,22.0,,,,,,,,,,,,,,,,,,,66.5,0.124,,,,,,,,,,,
71,,iti,,html-keyboard-response,71,195655,0.0-1.0-92.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,67.5,1.0,,,,,,,,,,,
72,,size_choice,,html-keyboard-response,72,196234,0.0-1.0-94.0,0,0,47956,,576.0,,,68.0,23.0,23.0,1.0,1500.0,M-XL,1.0,XL,M,4.0,2.0,car,handsaw,car6,handsaw2,155.0,81.0,/static/Size_judgement/Stimuli/Size_stims/XL/car/car12.jpg,/static/Size_judgement/Stimuli/Size_stims/M/handsaw/handsaw9.jpg,1.0,68.076,0.576,0.0,1.0,car,handsaw,XL,M,4.0,2.0,car6,handsaw2,
73,,size_choice_confirmation,,html-keyboard-response,73,197162,0.0-1.0-95.0-0.0,0,0,47956,,,,,,23.0,,,,,,,,,,,,,,,,,,,69.0,0.924,,,,,,,,,,,
74,,iti,,html-keyboard-response,74,198666,0.0-1.0-96.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,70.5,1.5,,,,,,,,,,,
75,,size_choice,,html-keyboard-response,75,199892,0.0-1.0-98.0,0,0,47956,,1222.0,,,75.0,24.0,24.0,1.0,1500.0,S-L,0.0,S,L,1.0,3.0,die,deskchair,die3,deskchair6,102.0,15.0,/static/Size_judgement/Stimuli/Size_stims/S/die/die10.jpg,/static/Size_judgement/Stimuli/Size_stims/L/deskchair/deskchair5.jpg,1.0,71.722,1.222,0.0,0.0,deskchair,die,L,S,3.0,1.0,deskchair6,die3,
76,,size_choice_confirmation,,html-keyboard-response,76,200174,0.0-1.0-99.0-0.0,0,0,47956,,,,,,24.0,,,,,,,,,,,,,,,,,,,72.0,0.278,,,,,,,,,,,
77,,iti,,html-keyboard-response,77,201678,0.0-1.0-100.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,73.5,1.5,,,,,,,,,,,
78,,size_choice,,html-keyboard-response,78,202523,0.0-1.0-102.0,0,0,47956,,842.0,,,68.0,25.0,25.0,1.0,1500.0,S-S,,S,S,1.0,1.0,paperclip,die,paperclip9,die1,118.0,100.0,/static/Size_judgement/Stimuli/Size_stims/S/paperclip/paperclip4.jpg,/static/Size_judgement/Stimuli/Size_stims/S/die/die8.jpg,,74.342,0.842,0.0,1.0,paperclip,die,S,S,1.0,1.0,paperclip9,die1,
79,,size_choice_confirmation,,html-keyboard-response,79,203185,0.0-1.0-103.0-0.0,0,0,47956,,,,,,25.0,,,,,,,,,,,,,,,,,,,75.0,0.658,,,,,,,,,,,
80,,iti,,html-keyboard-response,80,204689,0.0-1.0-104.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,76.5,1.5,,,,,,,,,,,
81,,size_choice,,html-keyboard-response,81,205396,0.0-1.0-106.0,0,0,47956,,704.0,,,75.0,26.0,26.0,1.0,2000.0,M-L,0.0,M,L,2.0,3.0,basketball,deskchair,basketball4,deskchair9,53.0,18.0,/static/Size_judgement/Stimuli/Size_stims/M/basketball/basketball1.jpg,/static/Size_judgement/Stimuli/Size_stims/L/deskchair/deskchair3.jpg,1.0,77.204,0.704,0.0,0.0,deskchair,basketball,L,M,3.0,2.0,deskchair9,basketball4,
82,,size_choice_confirmation,,html-keyboard-response,82,206196,0.0-1.0-107.0-0.0,0,0,47956,,,,,,26.0,,,,,,,,,,,,,,,,,,,78.0,0.796,,,,,,,,,,,
83,,iti,,html-keyboard-response,83,208199,0.0-1.0-108.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,80.0,2.0,,,,,,,,,,,
84,,size_choice,,html-keyboard-response,84,208908,0.0-1.0-110.0,0,0,47956,,705.0,,,75.0,27.0,27.0,1.0,1500.0,S-XL,0.0,S,XL,1.0,4.0,screws,crane,screws6,crane6,125.0,165.0,/static/Size_judgement/Stimuli/Size_stims/S/screws/screws3.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/crane/crane2.jpg,1.0,80.705,0.705,0.0,0.0,crane,screws,XL,S,4.0,1.0,crane6,screws6,
85,,size_choice_confirmation,,html-keyboard-response,85,209708,0.0-1.0-111.0-0.0,0,0,47956,,,,,,27.0,,,,,,,,,,,,,,,,,,,81.5,0.795,,,,,,,,,,,
86,,iti,,html-keyboard-response,86,211211,0.0-1.0-112.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,83.0,1.5,,,,,,,,,,,
87,,size_choice,,html-keyboard-response,87,212714,0.0-1.0-114.0,0,0,47956,,,,,,28.0,28.0,1.0,3000.0,M-L,0.0,M,L,2.0,3.0,coffeemaker,dishwasher,coffeemaker1,dishwasher7,60.0,26.0,/static/Size_judgement/Stimuli/Size_stims/M/coffeemaker/coffeemaker14.jpg,/static/Size_judgement/Stimuli/Size_stims/L/dishwasher/dishwasher7.jpg,,84.5,1.5,1.0,,,,,,,,,,
88,,iti,,html-keyboard-response,88,215716,0.0-1.0-116.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,87.5,3.0,,,,,,,,,,,
89,,size_choice,,html-keyboard-response,89,216316,0.0-1.0-118.0,0,0,47956,,597.0,,,75.0,29.0,29.0,1.0,2000.0,L-XL,0.0,L,XL,3.0,4.0,mailbox,tractor,mailbox6,tractor2,45.0,181.0,/static/Size_judgement/Stimuli/Size_stims/L/mailbox/mailbox6.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/tractor/tractor7.jpg,1.0,88.097,0.597,0.0,0.0,tractor,mailbox,XL,L,4.0,3.0,tractor2,mailbox6,
90,,size_choice_confirmation,,html-keyboard-response,90,217223,0.0-1.0-119.0-0.0,0,0,47956,,,,,,29.0,,,,,,,,,,,,,,,,,,,89.0,0.903,,,,,,,,,,,
91,,iti,,html-keyboard-response,91,219225,0.0-1.0-120.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,91.0,2.0,,,,,,,,,,,
92,,size_choice,,html-keyboard-response,92,219948,0.0-1.0-122.0,0,0,47956,,718.0,,,75.0,30.0,30.0,1.0,1500.0,S-XL,0.0,S,XL,1.0,4.0,teabag,crane,teabag5,crane7,134.0,166.0,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag2.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/crane/crane3.jpg,1.0,91.718,0.718,0.0,0.0,crane,teabag,XL,S,4.0,1.0,crane7,teabag5,
93,,size_choice_confirmation,,html-keyboard-response,93,220733,0.0-1.0-123.0-0.0,0,0,47956,,,,,,30.0,,,,,,,,,,,,,,,,,,,92.5,0.782,,,,,,,,,,,
