,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,iti,pair_type,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_size_group,unchosen_size_group,chosen_size_num,unchosen_size_num,chosen_exemplar,unchosen_exemplar,accuracy,no_response,onset,duration,no_resposne,size_final_tally
34,,size_choice,,html-keyboard-response,34,28280,0.0-1.0-42.0,0,0,18270,,717.0,,,68.0,10.0,10.0,1.0,1000.0,M-L,1.0,L,M,3.0,2.0,garbagecan,basketball,garbagecan4,basketball4,33.0,53.0,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan6.jpg,/static/Size_judgement/Stimuli/Size_stims/M/basketball/basketball1.jpg,1.0,garbagecan,basketball,L,M,3.0,2.0,garbagecan4,basketball4,1.0,0.0,35.217,0.7170000000000001,,
35,,size_choice_confirmation,,html-keyboard-response,35,29068,0.0-1.0-43.0-0.0,0,0,18270,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,0.7829999999999999,,
36,,iti,,html-keyboard-response,36,29171,0.0-1.0-44.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,1.0,,
37,,size_choice,,html-keyboard-response,37,29657,0.0-1.0-46.0,0,0,18270,,485.0,,,68.0,11.0,11.0,1.0,1000.0,S-L,1.0,L,S,3.0,1.0,dishwasher,screws,dishwasher8,screws8,27.0,127.0,/static/Size_judgement/Stimuli/Size_stims/L/dishwasher/dishwasher3.jpg,/static/Size_judgement/Stimuli/Size_stims/S/screws/screws10.jpg,1.0,dishwasher,screws,L,S,3.0,1.0,dishwasher8,screws8,1.0,0.0,37.485,0.485,,
38,,size_choice_confirmation,,html-keyboard-response,38,30677,0.0-1.0-47.0-0.0,0,0,18270,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,1.015,,
39,,iti,,html-keyboard-response,39,30781,0.0-1.0-48.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,1.0,,
40,,size_choice,,html-keyboard-response,40,31486,0.0-1.0-50.0,0,0,18270,,704.0,,,68.0,12.0,12.0,1.0,1000.0,L-XL,1.0,XL,L,4.0,3.0,tractor,deskchair,tractor6,deskchair5,185.0,14.0,/static/Size_judgement/Stimuli/Size_stims/XL/tractor/tractor3.jpg,/static/Size_judgement/Stimuli/Size_stims/L/deskchair/deskchair7.jpg,1.0,tractor,deskchair,XL,L,4.0,3.0,tractor6,deskchair5,1.0,0.0,40.204,0.7040000000000001,,
41,,size_choice_confirmation,,html-keyboard-response,41,32283,0.0-1.0-51.0-0.0,0,0,18270,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,0.7959999999999999,,
42,,iti,,html-keyboard-response,42,32384,0.0-1.0-52.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,1.0,,
43,,size_choice,,html-keyboard-response,43,32868,0.0-1.0-54.0,0,0,18270,,483.0,,,75.0,13.0,13.0,1.0,1000.0,S-S,,S,S,1.0,1.0,thread,die,thread10,die1,149.0,100.0,/static/Size_judgement/Stimuli/Size_stims/S/thread/thread9.jpg,/static/Size_judgement/Stimuli/Size_stims/S/die/die8.jpg,0.0,die,thread,S,S,1.0,1.0,die1,thread10,,0.0,42.483000000000004,0.483,,
44,,size_choice_confirmation,,html-keyboard-response,44,33891,0.0-1.0-55.0-0.0,0,0,18270,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5,1.0170000000000001,,
45,,iti,,html-keyboard-response,45,33992,0.0-1.0-56.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,1.0,,
46,,size_choice,,html-keyboard-response,46,34511,0.0-1.0-58.0,0,0,18270,,518.0,,,68.0,14.0,14.0,1.0,1000.0,M-XL,0.0,M,XL,2.0,4.0,coffeemaker,tractor,coffeemaker4,tractor4,63.0,183.0,/static/Size_judgement/Stimuli/Size_stims/M/coffeemaker/coffeemaker11.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/tractor/tractor4.jpg,1.0,coffeemaker,tractor,M,XL,2.0,4.0,coffeemaker4,tractor4,0.0,0.0,45.018,0.518,,
47,,size_choice_confirmation,,html-keyboard-response,47,35500,0.0-1.0-59.0-0.0,0,0,18270,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,0.982,,
48,,iti,,html-keyboard-response,48,35603,0.0-1.0-60.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,1.0,,
49,,size_choice,,html-keyboard-response,49,36117,0.0-1.0-62.0,0,0,18270,,512.0,,,75.0,15.0,15.0,1.0,3500.0,M-XL,0.0,M,XL,2.0,4.0,handsaw,van,handsaw5,van10,84.0,199.0,/static/Size_judgement/Stimuli/Size_stims/M/handsaw/handsaw1.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/van/van8.jpg,0.0,van,handsaw,XL,M,4.0,2.0,van10,handsaw5,1.0,0.0,47.512,0.512,,
50,,size_choice_confirmation,,html-keyboard-response,50,37109,0.0-1.0-63.0-0.0,0,0,18270,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5,0.988,,
51,,iti,,html-keyboard-response,51,37215,0.0-1.0-64.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,3.5,,
52,,size_choice,,html-keyboard-response,52,37858,0.0-1.0-66.0,0,0,18270,,642.0,,,68.0,16.0,16.0,1.0,1500.0,XL-XL,,XL,XL,4.0,4.0,dumptruck,car,dumptruck2,car6,171.0,155.0,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck8.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/car/car12.jpg,1.0,dumptruck,car,XL,XL,4.0,4.0,dumptruck2,car6,,0.0,52.641999999999996,0.642,,
53,,size_choice_confirmation,,html-keyboard-response,53,38719,0.0-1.0-67.0-0.0,0,0,18270,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5,0.858,,
54,,iti,,html-keyboard-response,54,38822,0.0-1.0-68.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1.5,,
55,,size_choice,,html-keyboard-response,55,39491,0.0-1.0-70.0,0,0,18270,,668.0,,,68.0,17.0,17.0,1.0,1500.0,S-XL,1.0,XL,S,4.0,1.0,van,screws,van1,screws6,190.0,125.0,/static/Size_judgement/Stimuli/Size_stims/XL/van/van5.jpg,/static/Size_judgement/Stimuli/Size_stims/S/screws/screws3.jpg,1.0,van,screws,XL,S,4.0,1.0,van1,screws6,1.0,0.0,55.668,0.6679999999999999,,
56,,size_choice_confirmation,,html-keyboard-response,56,40327,0.0-1.0-71.0-0.0,0,0,18270,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.5,0.8320000000000001,,
57,,iti,,html-keyboard-response,57,40428,0.0-1.0-72.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,1.5,,
58,,size_choice,,html-keyboard-response,58,40970,0.0-1.0-74.0,0,0,18270,,541.0,,,68.0,18.0,18.0,1.0,3500.0,M-XL,1.0,XL,M,4.0,2.0,car,basketball,car5,basketball8,154.0,57.0,/static/Size_judgement/Stimuli/Size_stims/XL/car/car11.jpg,/static/Size_judgement/Stimuli/Size_stims/M/basketball/basketball7.jpg,1.0,car,basketball,XL,M,4.0,2.0,car5,basketball8,1.0,0.0,58.541000000000004,0.541,,
59,,size_choice_confirmation,,html-keyboard-response,59,41935,0.0-1.0-75.0-0.0,0,0,18270,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.5,0.9590000000000001,,
60,,iti,,html-keyboard-response,60,42039,0.0-1.0-76.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,3.5,,
61,,size_choice,,html-keyboard-response,61,42572,0.0-1.0-78.0,0,0,18270,,532.0,,,68.0,19.0,19.0,1.0,1500.0,S-L,1.0,L,S,3.0,1.0,cooler,thread,cooler7,thread7,6.0,146.0,/static/Size_judgement/Stimuli/Size_stims/L/cooler/cooler4.jpg,/static/Size_judgement/Stimuli/Size_stims/S/thread/thread3.jpg,1.0,cooler,thread,L,S,3.0,1.0,cooler7,thread7,1.0,0.0,63.532,0.532,,
62,,size_choice_confirmation,,html-keyboard-response,62,43546,0.0-1.0-79.0-0.0,0,0,18270,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.5,0.968,,
63,,iti,,html-keyboard-response,63,43649,0.0-1.0-80.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,1.5,,
64,,size_choice,,html-keyboard-response,64,44491,0.0-1.0-82.0,0,0,18270,,841.0,,,75.0,20.0,20.0,1.0,1000.0,S-S,,S,S,1.0,1.0,paperclip,teabag,paperclip8,teabag9,117.0,138.0,/static/Size_judgement/Stimuli/Size_stims/S/paperclip/paperclip5.jpg,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag5.jpg,0.0,teabag,paperclip,S,S,1.0,1.0,teabag9,paperclip8,,0.0,66.84100000000001,0.841,,
65,,size_choice_confirmation,,html-keyboard-response,65,45153,0.0-1.0-83.0-0.0,0,0,18270,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5,0.659,,
66,,iti,,html-keyboard-response,66,45258,0.0-1.0-84.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.5,1.0,,
67,,size_choice,,html-keyboard-response,67,45778,0.0-1.0-86.0,0,0,18270,,519.0,,,68.0,21.0,21.0,1.0,1000.0,S-S,,S,S,1.0,1.0,die,paperclip,die6,paperclip6,105.0,115.0,/static/Size_judgement/Stimuli/Size_stims/S/die/die1.jpg,/static/Size_judgement/Stimuli/Size_stims/S/paperclip/paperclip6.jpg,1.0,die,paperclip,S,S,1.0,1.0,die6,paperclip6,,0.0,69.01899999999999,0.519,,
68,,size_choice_confirmation,,html-keyboard-response,68,46763,0.0-1.0-87.0-0.0,0,0,18270,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,0.981,,
69,,iti,,html-keyboard-response,69,46865,0.0-1.0-88.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,1.0,,
70,,size_choice,,html-keyboard-response,70,47345,0.0-1.0-90.0,0,0,18270,,478.0,,,75.0,22.0,22.0,1.0,1000.0,L-XL,0.0,L,XL,3.0,4.0,dishwasher,dumptruck,dishwasher3,dumptruck3,22.0,172.0,/static/Size_judgement/Stimuli/Size_stims/L/dishwasher/dishwasher8.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck10.jpg,0.0,dumptruck,dishwasher,XL,L,4.0,3.0,dumptruck3,dishwasher3,1.0,0.0,71.47800000000001,0.478,,
71,,size_choice_confirmation,,html-keyboard-response,71,48369,0.0-1.0-91.0-0.0,0,0,18270,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.5,1.022,,
72,,iti,,html-keyboard-response,72,48474,0.0-1.0-92.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.5,1.0,,
73,,size_choice,,html-keyboard-response,73,49053,0.0-1.0-94.0,0,0,18270,,578.0,,,75.0,23.0,23.0,1.0,3000.0,M-M,,M,M,2.0,2.0,handsaw,hairdryer,handsaw8,hairdryer3,87.0,72.0,/static/Size_judgement/Stimuli/Size_stims/M/handsaw/handsaw7.jpg,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer17.jpg,0.0,hairdryer,handsaw,M,M,2.0,2.0,hairdryer3,handsaw8,,0.0,74.078,0.578,,
74,,size_choice_confirmation,,html-keyboard-response,74,49981,0.0-1.0-95.0-0.0,0,0,18270,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,0.922,,
75,,iti,,html-keyboard-response,75,50082,0.0-1.0-96.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,3.0,,
76,,size_choice,,html-keyboard-response,76,50624,0.0-1.0-98.0,0,0,18270,,541.0,,,68.0,24.0,24.0,1.0,1000.0,S-M,1.0,M,S,2.0,1.0,basketball,paperclip,basketball2,paperclip10,51.0,119.0,/static/Size_judgement/Stimuli/Size_stims/M/basketball/basketball8.jpg,/static/Size_judgement/Stimuli/Size_stims/S/paperclip/paperclip10.jpg,1.0,basketball,paperclip,M,S,2.0,1.0,basketball2,paperclip10,1.0,0.0,78.541,0.541,,
77,,size_choice_confirmation,,html-keyboard-response,77,51586,0.0-1.0-99.0-0.0,0,0,18270,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.5,0.9590000000000001,,
78,,iti,,html-keyboard-response,78,51691,0.0-1.0-100.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.5,1.0,,
79,,size_choice,,html-keyboard-response,79,52948,0.0-1.0-102.0,0,0,18270,,1255.0,,,68.0,25.0,25.0,1.0,2000.0,S-L,1.0,L,S,3.0,1.0,dishwasher,paperclip,dishwasher10,paperclip9,29.0,118.0,/static/Size_judgement/Stimuli/Size_stims/L/dishwasher/dishwasher1.jpg,/static/Size_judgement/Stimuli/Size_stims/S/paperclip/paperclip4.jpg,1.0,dishwasher,paperclip,L,S,3.0,1.0,dishwasher10,paperclip9,1.0,0.0,81.755,1.255,,
80,,size_choice_confirmation,,html-keyboard-response,80,53199,0.0-1.0-103.0-0.0,0,0,18270,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,0.245,,
81,,iti,,html-keyboard-response,81,53304,0.0-1.0-104.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,2.0,,
82,,size_choice,,html-keyboard-response,82,54806,0.0-1.0-106.0,0,0,18270,,,,,,26.0,26.0,1.0,3000.0,S-L,1.0,L,S,3.0,1.0,deskchair,thread,deskchair10,thread2,19.0,141.0,/static/Size_judgement/Stimuli/Size_stims/L/deskchair/deskchair2.jpg,/static/Size_judgement/Stimuli/Size_stims/S/thread/thread6.jpg,,,,,,,,,,,,85.5,1.5,1.0,
83,,iti,,html-keyboard-response,83,54907,0.0-1.0-108.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.5,2.0,,
84,,size_choice,,html-keyboard-response,84,55970,0.0-1.0-110.0,0,0,18270,,1062.0,,,75.0,27.0,27.0,1.0,1000.0,L-L,,L,L,3.0,3.0,mailbox,garbagecan,mailbox5,garbagecan8,44.0,37.0,/static/Size_judgement/Stimuli/Size_stims/L/mailbox/mailbox4.jpg,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan13.jpg,0.0,garbagecan,mailbox,L,L,3.0,3.0,garbagecan8,mailbox5,,0.0,88.56200000000001,1.062,,
85,,size_choice_confirmation,,html-keyboard-response,85,56412,0.0-1.0-111.0-0.0,0,0,18270,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,0.43799999999999994,,
86,,iti,,html-keyboard-response,86,56518,0.0-1.0-112.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,1.0,,
87,,size_choice,,html-keyboard-response,87,57025,0.0-1.0-114.0,0,0,18270,,506.0,,,75.0,28.0,28.0,1.0,2000.0,M-L,0.0,M,L,2.0,3.0,ketchup,mailbox,ketchup2,mailbox9,91.0,48.0,/static/Size_judgement/Stimuli/Size_stims/M/ketchup/ketchup9.jpg,/static/Size_judgement/Stimuli/Size_stims/L/mailbox/mailbox9.jpg,0.0,mailbox,ketchup,L,M,3.0,2.0,mailbox9,ketchup2,1.0,0.0,90.506,0.506,,
88,,size_choice_confirmation,,html-keyboard-response,88,58021,0.0-1.0-115.0-0.0,0,0,18270,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.5,0.9940000000000001,,
89,,iti,,html-keyboard-response,89,58122,0.0-1.0-116.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.5,2.0,,
90,,size_choice,,html-keyboard-response,90,58714,0.0-1.0-118.0,0,0,18270,,591.0,,,75.0,29.0,29.0,1.0,1000.0,S-XL,0.0,S,XL,1.0,4.0,die,dumptruck,die5,dumptruck9,104.0,178.0,/static/Size_judgement/Stimuli/Size_stims/S/die/die3.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck5.jpg,0.0,dumptruck,die,XL,S,4.0,1.0,dumptruck9,die5,1.0,0.0,94.09100000000001,0.591,,
91,,size_choice_confirmation,,html-keyboard-response,91,59627,0.0-1.0-119.0-0.0,0,0,18270,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,0.909,,
92,,iti,,html-keyboard-response,92,59733,0.0-1.0-120.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,1.0,,
