,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,condition,iti,isi,high_group_on_left,left_group_value,right_group_value,left_item_value,right_item_value,left_img,right_img,left_img_path,right_img_path,onset,duration,no_response,left_chosen,chosen_group_value,unchosen_group_value,chosen_item_value,unchosen_item_value,chosen_img,unchosen_img,total_bonus_tally
33,,rl_choice,,html-keyboard-response,33,56571,0.0-1.0-44.0,0,0,83590,,381.0,,,68.0,6.0,6.0,1.0,hard,1000.0,1000.0,0.0,40.0,60.0,40.0,60.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,39.881,0.381,0.0,1.0,40.0,60.0,40.0,60.0,A,B,
34,,rl_choice_confirmation,,html-keyboard-response,34,57695,0.0-1.0-45.0-0.0,0,0,83590,,,,,,6.0,,,,,,,,,,,,,,,41.0,1.119,,,,,,,,,
35,,isi,,html-keyboard-response,35,58699,0.0-1.0-47.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,42.0,1.0,,,,,,,,,
36,,feedback,,html-keyboard-response,36,59705,0.0-1.0-48.0-0.0,0,0,83590,,,,,,6.0,,,,,,,,,,,,,,,43.0,1.0,,,,,,,,,
37,,iti,,html-keyboard-response,37,60709,0.0-1.0-49.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,44.0,1.0,,,,,,,,,
38,,rl_choice,,html-keyboard-response,38,60887,0.0-1.0-51.0,0,0,83590,,177.0,,,68.0,7.0,7.0,1.0,hard,3000.0,1500.0,0.0,40.0,60.0,20.0,40.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,44.177,0.177,0.0,1.0,40.0,60.0,20.0,40.0,A,B,
39,,rl_choice_confirmation,,html-keyboard-response,39,62212,0.0-1.0-52.0-0.0,0,0,83590,,,,,,7.0,,,,,,,,,,,,,,,45.5,1.323,,,,,,,,,
40,,isi,,html-keyboard-response,40,63715,0.0-1.0-54.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,47.0,1.5,,,,,,,,,
41,,feedback,,html-keyboard-response,41,64720,0.0-1.0-55.0-0.0,0,0,83590,,,,,,7.0,,,,,,,,,,,,,,,48.0,1.0,,,,,,,,,
42,,iti,,html-keyboard-response,42,67727,0.0-1.0-56.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,51.0,3.0,,,,,,,,,
43,,rl_choice,,html-keyboard-response,43,68041,0.0-1.0-58.0,0,0,83590,,312.0,,,68.0,8.0,8.0,1.0,hard,1000.0,2000.0,1.0,60.0,40.0,60.0,60.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,51.312,0.312,0.0,1.0,60.0,40.0,60.0,60.0,B,A,
44,,rl_choice_confirmation,,html-keyboard-response,44,69234,0.0-1.0-59.0-0.0,0,0,83590,,,,,,8.0,,,,,,,,,,,,,,,52.5,1.188,,,,,,,,,
45,,isi,,html-keyboard-response,45,71237,0.0-1.0-61.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,54.5,2.0,,,,,,,,,
46,,feedback,,html-keyboard-response,46,72242,0.0-1.0-62.0-0.0,0,0,83590,,,,,,8.0,,,,,,,,,,,,,,,55.5,1.0,,,,,,,,,
47,,iti,,html-keyboard-response,47,73247,0.0-1.0-63.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,56.5,1.0,,,,,,,,,
48,,rl_choice,,html-keyboard-response,48,73579,0.0-1.0-65.0,0,0,83590,,331.0,,,68.0,9.0,9.0,1.0,hard,2000.0,2000.0,1.0,60.0,40.0,80.0,60.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,56.831,0.331,0.0,1.0,60.0,40.0,80.0,60.0,B,A,
49,,rl_choice_confirmation,,html-keyboard-response,49,74751,0.0-1.0-66.0-0.0,0,0,83590,,,,,,9.0,,,,,,,,,,,,,,,58.0,1.169,,,,,,,,,
50,,isi,,html-keyboard-response,50,76756,0.0-1.0-68.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,60.0,2.0,,,,,,,,,
51,,feedback,,html-keyboard-response,51,77759,0.0-1.0-69.0-0.0,0,0,83590,,,,,,9.0,,,,,,,,,,,,,,,61.0,1.0,,,,,,,,,
52,,iti,,html-keyboard-response,52,79761,0.0-1.0-70.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,63.0,2.0,,,,,,,,,
53,,rl_choice,,html-keyboard-response,53,79933,0.0-1.0-72.0,0,0,83590,,170.0,,,68.0,10.0,10.0,1.0,hard,2000.0,2000.0,0.0,40.0,60.0,20.0,60.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,63.17,0.17,0.0,1.0,40.0,60.0,20.0,60.0,A,B,
54,,rl_choice_confirmation,,html-keyboard-response,54,81268,0.0-1.0-73.0-0.0,0,0,83590,,,,,,10.0,,,,,,,,,,,,,,,64.5,1.33,,,,,,,,,
55,,isi,,html-keyboard-response,55,83274,0.0-1.0-75.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,66.5,2.0,,,,,,,,,
56,,feedback,,html-keyboard-response,56,84281,0.0-1.0-76.0-0.0,0,0,83590,,,,,,10.0,,,,,,,,,,,,,,,67.5,1.0,,,,,,,,,
57,,iti,,html-keyboard-response,57,86285,0.0-1.0-77.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,69.5,2.0,,,,,,,,,
58,,rl_choice,,html-keyboard-response,58,86734,0.0-1.0-79.0,0,0,83590,,446.0,,,68.0,11.0,11.0,1.0,easy,1500.0,2000.0,1.0,80.0,20.0,100.0,20.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,69.946,0.446,0.0,1.0,80.0,20.0,100.0,20.0,D,C,
59,,rl_choice_confirmation,,html-keyboard-response,59,87791,0.0-1.0-80.0-0.0,0,0,83590,,,,,,11.0,,,,,,,,,,,,,,,71.0,1.054,,,,,,,,,
60,,isi,,html-keyboard-response,60,89793,0.0-1.0-82.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,73.0,2.0,,,,,,,,,
61,,feedback,,html-keyboard-response,61,90799,0.0-1.0-83.0-0.0,0,0,83590,,,,,,11.0,,,,,,,,,,,,,,,74.0,1.0,,,,,,,,,
62,,iti,,html-keyboard-response,62,92303,0.0-1.0-84.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,75.5,1.5,,,,,,,,,
63,,rl_choice,,html-keyboard-response,63,92449,0.0-1.0-86.0,0,0,83590,,143.0,,,68.0,12.0,12.0,1.0,hard,1000.0,1500.0,1.0,60.0,40.0,40.0,20.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,75.643,0.143,0.0,1.0,60.0,40.0,40.0,20.0,B,A,
64,,rl_choice_confirmation,,html-keyboard-response,64,93807,0.0-1.0-87.0-0.0,0,0,83590,,,,,,12.0,,,,,,,,,,,,,,,77.0,1.357,,,,,,,,,
65,,isi,,html-keyboard-response,65,95309,0.0-1.0-89.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,78.5,1.5,,,,,,,,,
66,,feedback,,html-keyboard-response,66,96314,0.0-1.0-90.0-0.0,0,0,83590,,,,,,12.0,,,,,,,,,,,,,,,79.5,1.0,,,,,,,,,
67,,iti,,html-keyboard-response,67,97320,0.0-1.0-91.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,80.5,1.0,,,,,,,,,
68,,rl_choice,,html-keyboard-response,68,97420,0.0-1.0-93.0,0,0,83590,,97.0,,,68.0,13.0,13.0,1.0,easy,1500.0,1500.0,1.0,80.0,20.0,100.0,40.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,80.597,0.097,0.0,1.0,80.0,20.0,100.0,40.0,D,C,
69,,rl_choice_confirmation,,html-keyboard-response,69,98826,0.0-1.0-94.0-0.0,0,0,83590,,,,,,13.0,,,,,,,,,,,,,,,82.0,1.403,,,,,,,,,
70,,isi,,html-keyboard-response,70,100328,0.0-1.0-96.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,83.5,1.5,,,,,,,,,
71,,feedback,,html-keyboard-response,71,101333,0.0-1.0-97.0-0.0,0,0,83590,,,,,,13.0,,,,,,,,,,,,,,,84.5,1.0,,,,,,,,,
72,,iti,,html-keyboard-response,72,102837,0.0-1.0-98.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,86.0,1.5,,,,,,,,,
73,,rl_choice,,html-keyboard-response,73,102933,0.0-1.0-100.0,0,0,83590,,94.0,,,68.0,14.0,14.0,1.0,easy,1000.0,1000.0,0.0,20.0,80.0,0.0,60.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,86.094,0.094,0.0,1.0,20.0,80.0,0.0,60.0,C,D,
74,,rl_choice_confirmation,,html-keyboard-response,74,104345,0.0-1.0-101.0-0.0,0,0,83590,,,,,,14.0,,,,,,,,,,,,,,,87.5,1.406,,,,,,,,,
75,,isi,,html-keyboard-response,75,105351,0.0-1.0-103.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,88.5,1.0,,,,,,,,,
76,,feedback,,html-keyboard-response,76,106357,0.0-1.0-104.0-0.0,0,0,83590,,,,,,14.0,,,,,,,,,,,,,,,89.5,1.0,,,,,,,,,
77,,iti,,html-keyboard-response,77,107364,0.0-1.0-105.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,90.5,1.0,,,,,,,,,
78,,rl_choice,,html-keyboard-response,78,107393,0.0-1.0-107.0,0,0,83590,,28.0,,,68.0,15.0,15.0,1.0,easy,1000.0,2000.0,0.0,20.0,80.0,20.0,100.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,90.528,0.028,0.0,1.0,20.0,80.0,20.0,100.0,C,D,
79,,rl_choice_confirmation,,html-keyboard-response,79,108869,0.0-1.0-108.0-0.0,0,0,83590,,,,,,15.0,,,,,,,,,,,,,,,92.0,1.472,,,,,,,,,
80,,isi,,html-keyboard-response,80,110874,0.0-1.0-110.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,94.0,2.0,,,,,,,,,
81,,feedback,,html-keyboard-response,81,111878,0.0-1.0-111.0-0.0,0,0,83590,,,,,,15.0,,,,,,,,,,,,,,,95.0,1.0,,,,,,,,,
82,,iti,,html-keyboard-response,82,112880,0.0-1.0-112.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,96.0,1.0,,,,,,,,,
83,,rl_choice,,html-keyboard-response,83,113178,0.0-1.0-114.0,0,0,83590,,297.0,,,68.0,16.0,16.0,1.0,hard,1000.0,1000.0,1.0,60.0,40.0,60.0,20.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,96.297,0.297,0.0,1.0,60.0,40.0,60.0,20.0,B,A,
84,,rl_choice_confirmation,,html-keyboard-response,84,114384,0.0-1.0-115.0-0.0,0,0,83590,,,,,,16.0,,,,,,,,,,,,,,,97.5,1.203,,,,,,,,,
85,,isi,,html-keyboard-response,85,115389,0.0-1.0-117.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,98.5,1.0,,,,,,,,,
86,,feedback,,html-keyboard-response,86,116395,0.0-1.0-118.0-0.0,0,0,83590,,,,,,16.0,,,,,,,,,,,,,,,99.5,1.0,,,,,,,,,
87,,iti,,html-keyboard-response,87,117397,0.0-1.0-119.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,100.5,1.0,,,,,,,,,
88,,rl_choice,,html-keyboard-response,88,117559,0.0-1.0-121.0,0,0,83590,,162.0,,,68.0,17.0,17.0,1.0,easy,1000.0,2000.0,0.0,20.0,80.0,40.0,100.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,100.662,0.162,0.0,1.0,20.0,80.0,40.0,100.0,C,D,
89,,rl_choice_confirmation,,html-keyboard-response,89,118901,0.0-1.0-122.0-0.0,0,0,83590,,,,,,17.0,,,,,,,,,,,,,,,102.0,1.338,,,,,,,,,
90,,isi,,html-keyboard-response,90,120907,0.0-1.0-124.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,104.0,2.0,,,,,,,,,
91,,feedback,,html-keyboard-response,91,121912,0.0-1.0-125.0-0.0,0,0,83590,,,,,,17.0,,,,,,,,,,,,,,,105.0,1.0,,,,,,,,,
92,,iti,,html-keyboard-response,92,122917,0.0-1.0-126.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,106.0,1.0,,,,,,,,,
93,,rl_choice,,html-keyboard-response,93,123132,0.0-1.0-128.0,0,0,83590,,212.0,,,68.0,18.0,18.0,1.0,easy,2000.0,1000.0,0.0,20.0,80.0,0.0,100.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,106.212,0.212,0.0,1.0,20.0,80.0,0.0,100.0,C,D,
94,,rl_choice_confirmation,,html-keyboard-response,94,124423,0.0-1.0-129.0-0.0,0,0,83590,,,,,,18.0,,,,,,,,,,,,,,,107.5,1.288,,,,,,,,,
95,,isi,,html-keyboard-response,95,125429,0.0-1.0-131.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,108.5,1.0,,,,,,,,,
96,,feedback,,html-keyboard-response,96,126432,0.0-1.0-132.0-0.0,0,0,83590,,,,,,18.0,,,,,,,,,,,,,,,109.5,1.0,,,,,,,,,
97,,iti,,html-keyboard-response,97,128436,0.0-1.0-133.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,111.5,2.0,,,,,,,,,
98,,rl_choice,,html-keyboard-response,98,128525,0.0-1.0-135.0,0,0,83590,,87.0,,,68.0,19.0,19.0,1.0,hard,1500.0,1500.0,0.0,40.0,60.0,60.0,60.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,111.587,0.087,0.0,1.0,40.0,60.0,60.0,60.0,A,B,
99,,rl_choice_confirmation,,html-keyboard-response,99,129941,0.0-1.0-136.0-0.0,0,0,83590,,,,,,19.0,,,,,,,,,,,,,,,113.0,1.413,,,,,,,,,
100,,isi,,html-keyboard-response,100,131442,0.0-1.0-138.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,114.5,1.5,,,,,,,,,
101,,feedback,,html-keyboard-response,101,132448,0.0-1.0-139.0-0.0,0,0,83590,,,,,,19.0,,,,,,,,,,,,,,,115.5,1.0,,,,,,,,,
102,,iti,,html-keyboard-response,102,133952,0.0-1.0-140.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,117.0,1.5,,,,,,,,,
103,,rl_choice,,html-keyboard-response,103,134572,0.0-1.0-142.0,0,0,83590,,618.0,,,68.0,20.0,20.0,1.0,easy,1000.0,1000.0,1.0,80.0,20.0,60.0,40.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,117.618,0.618,0.0,1.0,80.0,20.0,60.0,40.0,D,C,
104,,rl_choice_confirmation,,html-keyboard-response,104,135458,0.0-1.0-143.0-0.0,0,0,83590,,,,,,20.0,,,,,,,,,,,,,,,118.5,0.882,,,,,,,,,
105,,isi,,html-keyboard-response,105,136463,0.0-1.0-145.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,119.5,1.0,,,,,,,,,
106,,feedback,,html-keyboard-response,106,137467,0.0-1.0-146.0-0.0,0,0,83590,,,,,,20.0,,,,,,,,,,,,,,,120.5,1.0,,,,,,,,,
107,,iti,,html-keyboard-response,107,138472,0.0-1.0-147.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,121.5,1.0,,,,,,,,,
108,,rl_choice,,html-keyboard-response,108,138625,0.0-1.0-149.0,0,0,83590,,152.0,,,68.0,21.0,21.0,1.0,easy,3500.0,1000.0,1.0,80.0,20.0,60.0,20.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,121.652,0.152,0.0,1.0,80.0,20.0,60.0,20.0,D,C,
109,,rl_choice_confirmation,,html-keyboard-response,109,139975,0.0-1.0-150.0-0.0,0,0,83590,,,,,,21.0,,,,,,,,,,,,,,,123.0,1.348,,,,,,,,,
110,,isi,,html-keyboard-response,110,140977,0.0-1.0-152.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,124.0,1.0,,,,,,,,,
111,,feedback,,html-keyboard-response,111,141979,0.0-1.0-153.0-0.0,0,0,83590,,,,,,21.0,,,,,,,,,,,,,,,125.0,1.0,,,,,,,,,
112,,iti,,html-keyboard-response,112,145483,0.0-1.0-154.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,128.5,3.5,,,,,,,,,
113,,rl_choice,,html-keyboard-response,113,145957,0.0-1.0-156.0,0,0,83590,,471.0,,,68.0,22.0,22.0,1.0,easy,1500.0,1500.0,1.0,80.0,20.0,80.0,20.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,128.971,0.471,0.0,1.0,80.0,20.0,80.0,20.0,D,C,
114,,rl_choice_confirmation,,html-keyboard-response,114,146992,0.0-1.0-157.0-0.0,0,0,83590,,,,,,22.0,,,,,,,,,,,,,,,130.0,1.029,,,,,,,,,
115,,isi,,html-keyboard-response,115,148496,0.0-1.0-159.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,131.5,1.5,,,,,,,,,
116,,feedback,,html-keyboard-response,116,149502,0.0-1.0-160.0-0.0,0,0,83590,,,,,,22.0,,,,,,,,,,,,,,,132.5,1.0,,,,,,,,,
117,,iti,,html-keyboard-response,117,151004,0.0-1.0-161.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,134.0,1.5,,,,,,,,,
118,,rl_choice,,html-keyboard-response,118,151225,0.0-1.0-163.0,0,0,83590,,220.0,,,68.0,23.0,23.0,1.0,easy,2000.0,1500.0,0.0,20.0,80.0,20.0,60.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,134.22,0.22,0.0,1.0,20.0,80.0,20.0,60.0,C,D,
119,,rl_choice_confirmation,,html-keyboard-response,119,152510,0.0-1.0-164.0-0.0,0,0,83590,,,,,,23.0,,,,,,,,,,,,,,,135.5,1.28,,,,,,,,,
120,,isi,,html-keyboard-response,120,154012,0.0-1.0-166.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,137.0,1.5,,,,,,,,,
121,,feedback,,html-keyboard-response,121,155017,0.0-1.0-167.0-0.0,0,0,83590,,,,,,23.0,,,,,,,,,,,,,,,138.0,1.0,,,,,,,,,
122,,iti,,html-keyboard-response,122,157019,0.0-1.0-168.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,140.0,2.0,,,,,,,,,
123,,rl_choice,,html-keyboard-response,123,157071,0.0-1.0-170.0,0,0,83590,,49.0,,,68.0,24.0,24.0,1.0,hard,1000.0,1000.0,0.0,40.0,60.0,60.0,80.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,140.049,0.049,0.0,1.0,40.0,60.0,60.0,80.0,A,B,
124,,rl_choice_confirmation,,html-keyboard-response,124,158529,0.0-1.0-171.0-0.0,0,0,83590,,,,,,24.0,,,,,,,,,,,,,,,141.5,1.451,,,,,,,,,
125,,isi,,html-keyboard-response,125,159531,0.0-1.0-173.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,142.5,1.0,,,,,,,,,
126,,feedback,,html-keyboard-response,126,160534,0.0-1.0-174.0-0.0,0,0,83590,,,,,,24.0,,,,,,,,,,,,,,,143.5,1.0,,,,,,,,,
