,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,condition,iti,isi,high_group_on_left,left_group_value,right_group_value,left_item_value,right_item_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_group_value,unchosen_group_value,chosen_item_value,unchosen_item_value,chosen_img,unchosen_img,no_response,onset,duration,no_resposne,total_bonus_tally
10,,rl_choice_confirmation,,html-keyboard-response,10,69088,0.0-1.0-10.0-0.0,0,0,95248,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,6.5,1.01,,
11,,isi,,html-keyboard-response,11,72592,0.0-1.0-12.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,3.5,,
12,,feedback,,html-keyboard-response,12,73595,0.0-1.0-13.0-0.0,0,0,95248,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,11.0,1.0,,
13,,iti,,html-keyboard-response,13,75099,0.0-1.0-14.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,1.5,,
14,,rl_choice,,html-keyboard-response,14,75595,0.0-1.0-16.0,0,0,95248,,494.0,,,68.0,2.0,2.0,1.0,hard,3500.0,1000.0,0.0,40.0,60.0,20.0,60.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,1.0,40.0,60.0,20.0,60.0,D,C,0.0,12.994,0.494,,
15,,rl_choice_confirmation,,html-keyboard-response,15,76603,0.0-1.0-17.0-0.0,0,0,95248,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,14.0,1.006,,
16,,isi,,html-keyboard-response,16,77605,0.0-1.0-19.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,1.0,,
17,,feedback,,html-keyboard-response,17,78608,0.0-1.0-20.0-0.0,0,0,95248,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,16.0,1.0,,
18,,iti,,html-keyboard-response,18,82112,0.0-1.0-21.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,3.5,,
19,,rl_choice,,html-keyboard-response,19,82992,0.0-1.0-23.0,0,0,95248,,879.0,,,68.0,3.0,3.0,1.0,easy,3000.0,1000.0,1.0,80.0,20.0,100.0,20.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,1.0,80.0,20.0,100.0,20.0,A,B,0.0,20.379,0.879,,
20,,rl_choice_confirmation,,html-keyboard-response,20,83618,0.0-1.0-24.0-0.0,0,0,95248,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,21.0,0.621,,
21,,isi,,html-keyboard-response,21,84624,0.0-1.0-26.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,1.0,,
22,,feedback,,html-keyboard-response,22,85630,0.0-1.0-27.0-0.0,0,0,95248,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,23.0,1.0,,
23,,iti,,html-keyboard-response,23,88635,0.0-1.0-28.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,3.0,,
24,,rl_choice,,html-keyboard-response,24,89218,0.0-1.0-30.0,0,0,95248,,581.0,,,68.0,4.0,4.0,1.0,hard,1000.0,1500.0,0.0,40.0,60.0,60.0,40.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,1.0,40.0,60.0,60.0,40.0,D,C,0.0,26.581,0.581,,
25,,rl_choice_confirmation,,html-keyboard-response,25,90143,0.0-1.0-31.0-0.0,0,0,95248,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,27.5,0.919,,
26,,isi,,html-keyboard-response,26,91648,0.0-1.0-33.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,1.5,,
27,,feedback,,html-keyboard-response,27,92651,0.0-1.0-34.0-0.0,0,0,95248,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,30.0,1.0,,
28,,iti,,html-keyboard-response,28,93653,0.0-1.0-35.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,1.0,,
29,,rl_choice,,html-keyboard-response,29,94283,0.0-1.0-37.0,0,0,95248,,628.0,,,75.0,5.0,5.0,1.0,hard,2000.0,1000.0,0.0,40.0,60.0,40.0,60.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,0.0,60.0,40.0,60.0,40.0,C,D,0.0,31.628,0.628,,
30,,rl_choice_confirmation,,html-keyboard-response,30,95158,0.0-1.0-38.0-0.0,0,0,95248,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,32.5,0.872,,
31,,isi,,html-keyboard-response,31,96160,0.0-1.0-40.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,1.0,,
32,,feedback,,html-keyboard-response,32,97163,0.0-1.0-41.0-0.0,0,0,95248,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,34.5,1.0,,
33,,iti,,html-keyboard-response,33,99168,0.0-1.0-42.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,2.0,,
34,,rl_choice,,html-keyboard-response,34,99924,0.0-1.0-44.0,0,0,95248,,753.0,,,68.0,6.0,6.0,1.0,easy,1000.0,3000.0,1.0,80.0,20.0,60.0,40.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,1.0,80.0,20.0,60.0,40.0,A,B,0.0,37.253,0.753,,
35,,rl_choice_confirmation,,html-keyboard-response,35,100672,0.0-1.0-45.0-0.0,0,0,95248,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,38.0,0.747,,
36,,isi,,html-keyboard-response,36,103675,0.0-1.0-47.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,3.0,,
37,,feedback,,html-keyboard-response,37,104679,0.0-1.0-48.0-0.0,0,0,95248,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,42.0,1.0,,
38,,iti,,html-keyboard-response,38,105686,0.0-1.0-49.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,1.0,,
39,,rl_choice,,html-keyboard-response,39,106212,0.0-1.0-51.0,0,0,95248,,524.0,,,68.0,7.0,7.0,1.0,easy,2000.0,3000.0,1.0,80.0,20.0,100.0,0.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,1.0,80.0,20.0,100.0,0.0,A,B,0.0,43.524,0.524,,
40,,rl_choice_confirmation,,html-keyboard-response,40,107190,0.0-1.0-52.0-0.0,0,0,95248,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,44.5,0.976,,
41,,isi,,html-keyboard-response,41,110192,0.0-1.0-54.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5,3.0,,
42,,feedback,,html-keyboard-response,42,111195,0.0-1.0-55.0-0.0,0,0,95248,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,48.5,1.0,,
43,,iti,,html-keyboard-response,43,113200,0.0-1.0-56.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5,2.0,,
44,,rl_choice,,html-keyboard-response,44,113712,0.0-1.0-58.0,0,0,95248,,511.0,,,68.0,8.0,8.0,1.0,easy,1000.0,2000.0,1.0,80.0,20.0,60.0,20.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,1.0,80.0,20.0,60.0,20.0,A,B,0.0,51.011,0.511,,
45,,rl_choice_confirmation,,html-keyboard-response,45,114704,0.0-1.0-59.0-0.0,0,0,95248,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,52.0,0.989,,
46,,isi,,html-keyboard-response,46,116710,0.0-1.0-61.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,2.0,,
47,,feedback,,html-keyboard-response,47,117716,0.0-1.0-62.0-0.0,0,0,95248,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,55.0,1.0,,
48,,iti,,html-keyboard-response,48,118720,0.0-1.0-63.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,1.0,,
49,,rl_choice,,html-keyboard-response,49,119296,0.0-1.0-65.0,0,0,95248,,574.0,,,68.0,9.0,9.0,1.0,easy,1500.0,1000.0,1.0,80.0,20.0,80.0,20.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,1.0,80.0,20.0,80.0,20.0,A,B,0.0,56.574,0.574,,
50,,rl_choice_confirmation,,html-keyboard-response,50,120226,0.0-1.0-66.0-0.0,0,0,95248,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,57.5,0.926,,
51,,isi,,html-keyboard-response,51,121233,0.0-1.0-68.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.5,1.0,,
52,,feedback,,html-keyboard-response,52,122239,0.0-1.0-69.0-0.0,0,0,95248,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,59.5,1.0,,
53,,iti,,html-keyboard-response,53,123741,0.0-1.0-70.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,1.5,,
54,,rl_choice,,html-keyboard-response,54,124789,0.0-1.0-72.0,0,0,95248,,1047.0,,,75.0,10.0,10.0,1.0,hard,1500.0,1000.0,0.0,40.0,60.0,40.0,40.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,0.0,60.0,40.0,40.0,40.0,C,D,0.0,62.047,1.047,,
55,,rl_choice_confirmation,,html-keyboard-response,55,125249,0.0-1.0-73.0-0.0,0,0,95248,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,62.5,0.453,,
56,,isi,,html-keyboard-response,56,126251,0.0-1.0-75.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.5,1.0,,
57,,feedback,,html-keyboard-response,57,127253,0.0-1.0-76.0-0.0,0,0,95248,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,64.5,1.0,,
58,,iti,,html-keyboard-response,58,128758,0.0-1.0-77.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,1.5,,
59,,rl_choice,,html-keyboard-response,59,130033,0.0-1.0-79.0,0,0,95248,,1273.0,,,75.0,11.0,11.0,1.0,easy,3000.0,1000.0,0.0,20.0,80.0,40.0,60.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,0.0,80.0,20.0,60.0,40.0,A,B,0.0,67.273,1.273,,
60,,rl_choice_confirmation,,html-keyboard-response,60,130262,0.0-1.0-80.0-0.0,0,0,95248,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,67.5,0.227,,
61,,isi,,html-keyboard-response,61,131265,0.0-1.0-82.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.5,1.0,,
62,,feedback,,html-keyboard-response,62,132267,0.0-1.0-83.0-0.0,0,0,95248,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,69.5,1.0,,
63,,iti,,html-keyboard-response,63,135273,0.0-1.0-84.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.5,3.0,,
64,,rl_choice,,html-keyboard-response,64,135822,0.0-1.0-86.0,0,0,95248,,548.0,,,68.0,12.0,12.0,1.0,easy,1000.0,2000.0,1.0,80.0,20.0,100.0,20.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,1.0,80.0,20.0,100.0,20.0,A,B,0.0,73.048,0.548,,
65,,rl_choice_confirmation,,html-keyboard-response,65,136779,0.0-1.0-87.0-0.0,0,0,95248,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,74.0,0.952,,
66,,isi,,html-keyboard-response,66,138784,0.0-1.0-89.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,2.0,,
67,,feedback,,html-keyboard-response,67,139787,0.0-1.0-90.0-0.0,0,0,95248,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,77.0,1.0,,
68,,iti,,html-keyboard-response,68,140790,0.0-1.0-91.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,1.0,,
69,,rl_choice,,html-keyboard-response,69,141356,0.0-1.0-93.0,0,0,95248,,565.0,,,68.0,13.0,13.0,1.0,easy,1500.0,1500.0,1.0,80.0,20.0,100.0,0.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,1.0,80.0,20.0,100.0,0.0,A,B,0.0,78.565,0.565,,
70,,rl_choice_confirmation,,html-keyboard-response,70,142299,0.0-1.0-94.0-0.0,0,0,95248,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,79.5,0.935,,
71,,isi,,html-keyboard-response,71,143804,0.0-1.0-96.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,1.5,,
72,,feedback,,html-keyboard-response,72,144806,0.0-1.0-97.0-0.0,0,0,95248,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,82.0,1.0,,
73,,iti,,html-keyboard-response,73,146310,0.0-1.0-98.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.5,1.5,,
74,,rl_choice,,html-keyboard-response,74,146852,0.0-1.0-100.0,0,0,95248,,541.0,,,68.0,14.0,14.0,1.0,hard,1500.0,1500.0,1.0,60.0,40.0,40.0,20.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,1.0,60.0,40.0,40.0,20.0,C,D,0.0,84.041,0.541,,
75,,rl_choice_confirmation,,html-keyboard-response,75,147814,0.0-1.0-101.0-0.0,0,0,95248,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,85.0,0.959,,
76,,isi,,html-keyboard-response,76,149318,0.0-1.0-103.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.5,1.5,,
77,,feedback,,html-keyboard-response,77,150324,0.0-1.0-104.0-0.0,0,0,95248,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,87.5,1.0,,
78,,iti,,html-keyboard-response,78,151830,0.0-1.0-105.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,1.5,,
79,,rl_choice,,html-keyboard-response,79,152331,0.0-1.0-107.0,0,0,95248,,500.0,,,68.0,15.0,15.0,1.0,easy,1000.0,1500.0,1.0,80.0,20.0,80.0,20.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,1.0,80.0,20.0,80.0,20.0,A,B,0.0,89.5,0.5,,
80,,rl_choice_confirmation,,html-keyboard-response,80,153334,0.0-1.0-108.0-0.0,0,0,95248,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,90.5,1.0,,
81,,isi,,html-keyboard-response,81,154838,0.0-1.0-110.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,1.5,,
82,,feedback,,html-keyboard-response,82,155841,0.0-1.0-111.0-0.0,0,0,95248,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,93.0,1.0,,
83,,iti,,html-keyboard-response,83,156843,0.0-1.0-112.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,1.0,,
84,,rl_choice,,html-keyboard-response,84,157252,0.0-1.0-114.0,0,0,95248,,408.0,,,68.0,16.0,16.0,1.0,hard,1000.0,1000.0,0.0,40.0,60.0,60.0,80.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,1.0,40.0,60.0,60.0,80.0,D,C,0.0,94.408,0.408,,
85,,rl_choice_confirmation,,html-keyboard-response,85,158347,0.0-1.0-115.0-0.0,0,0,95248,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,95.5,1.092,,
86,,isi,,html-keyboard-response,86,159350,0.0-1.0-117.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.5,1.0,,
87,,feedback,,html-keyboard-response,87,160353,0.0-1.0-118.0-0.0,0,0,95248,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,97.5,1.0,,
88,,iti,,html-keyboard-response,88,161355,0.0-1.0-119.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5,1.0,,
89,,rl_choice,,html-keyboard-response,89,161955,0.0-1.0-121.0,0,0,95248,,598.0,,,68.0,17.0,17.0,1.0,easy,1500.0,1500.0,0.0,20.0,80.0,0.0,80.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,1.0,20.0,80.0,0.0,80.0,B,A,0.0,99.098,0.598,,
90,,rl_choice_confirmation,,html-keyboard-response,90,162859,0.0-1.0-122.0-0.0,0,0,95248,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,100.0,0.902,,
91,,isi,,html-keyboard-response,91,164363,0.0-1.0-124.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.5,1.5,,
92,,feedback,,html-keyboard-response,92,165370,0.0-1.0-125.0-0.0,0,0,95248,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,102.5,1.0,,
93,,iti,,html-keyboard-response,93,166875,0.0-1.0-126.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,1.5,,
94,,rl_choice,,html-keyboard-response,94,167238,0.0-1.0-128.0,0,0,95248,,362.0,,,68.0,18.0,18.0,1.0,easy,1000.0,2000.0,0.0,20.0,80.0,0.0,80.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,1.0,20.0,80.0,0.0,80.0,B,A,0.0,104.362,0.362,,
95,,rl_choice_confirmation,,html-keyboard-response,95,168380,0.0-1.0-129.0-0.0,0,0,95248,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,105.5,1.138,,
96,,isi,,html-keyboard-response,96,170385,0.0-1.0-131.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.5,2.0,,
97,,feedback,,html-keyboard-response,97,171391,0.0-1.0-132.0-0.0,0,0,95248,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,108.5,1.0,,
98,,iti,,html-keyboard-response,98,172396,0.0-1.0-133.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.5,1.0,,
99,,rl_choice,,html-keyboard-response,99,173107,0.0-1.0-135.0,0,0,95248,,710.0,,,68.0,19.0,19.0,1.0,hard,1000.0,3000.0,1.0,60.0,40.0,80.0,40.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,1.0,60.0,40.0,80.0,40.0,C,D,0.0,110.21,0.71,,
100,,rl_choice_confirmation,,html-keyboard-response,100,173900,0.0-1.0-136.0-0.0,0,0,95248,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,111.0,0.79,,
101,,isi,,html-keyboard-response,101,176902,0.0-1.0-138.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.0,3.0,,
102,,feedback,,html-keyboard-response,102,177907,0.0-1.0-139.0-0.0,0,0,95248,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,115.0,1.0,,
103,,iti,,html-keyboard-response,103,178912,0.0-1.0-140.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,1.0,,
104,,rl_choice,,html-keyboard-response,104,179320,0.0-1.0-142.0,0,0,95248,,406.0,,,68.0,20.0,20.0,1.0,hard,1000.0,1000.0,1.0,60.0,40.0,80.0,40.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,1.0,60.0,40.0,80.0,40.0,C,D,0.0,116.406,0.406,,
105,,rl_choice_confirmation,,html-keyboard-response,105,180419,0.0-1.0-143.0-0.0,0,0,95248,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,117.5,1.094,,
106,,isi,,html-keyboard-response,106,181424,0.0-1.0-145.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.5,1.0,,
107,,feedback,,html-keyboard-response,107,182427,0.0-1.0-146.0-0.0,0,0,95248,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,119.5,1.0,,
108,,iti,,html-keyboard-response,108,183430,0.0-1.0-147.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.5,1.0,,
109,,rl_choice,,html-keyboard-response,109,183925,0.0-1.0-149.0,0,0,95248,,493.0,,,68.0,21.0,21.0,1.0,hard,1500.0,2000.0,1.0,60.0,40.0,80.0,40.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,1.0,60.0,40.0,80.0,40.0,C,D,0.0,120.993,0.493,,
110,,rl_choice_confirmation,,html-keyboard-response,110,184934,0.0-1.0-150.0-0.0,0,0,95248,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,122.0,1.007,,
111,,isi,,html-keyboard-response,111,186939,0.0-1.0-152.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.0,2.0,,
112,,feedback,,html-keyboard-response,112,187944,0.0-1.0-153.0-0.0,0,0,95248,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,125.0,1.0,,
113,,iti,,html-keyboard-response,113,189446,0.0-1.0-154.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.5,1.5,,
114,,rl_choice,,html-keyboard-response,114,190235,0.0-1.0-156.0,0,0,95248,,786.0,,,68.0,22.0,22.0,1.0,hard,1000.0,2000.0,0.0,40.0,60.0,60.0,80.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,1.0,40.0,60.0,60.0,80.0,D,C,0.0,127.286,0.786,,
115,,rl_choice_confirmation,,html-keyboard-response,115,190956,0.0-1.0-157.0-0.0,0,0,95248,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,128.0,0.714,,
116,,isi,,html-keyboard-response,116,192961,0.0-1.0-159.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,2.0,,
117,,feedback,,html-keyboard-response,117,193963,0.0-1.0-160.0-0.0,0,0,95248,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,131.0,1.0,,
118,,iti,,html-keyboard-response,118,194966,0.0-1.0-161.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,1.0,,
119,,rl_choice,,html-keyboard-response,119,195389,0.0-1.0-163.0,0,0,95248,,421.0,,,68.0,23.0,23.0,1.0,easy,2000.0,1500.0,0.0,20.0,80.0,0.0,100.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,1.0,20.0,80.0,0.0,100.0,B,A,0.0,132.421,0.421,,
120,,rl_choice_confirmation,,html-keyboard-response,120,196470,0.0-1.0-164.0-0.0,0,0,95248,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,133.5,1.079,,
121,,isi,,html-keyboard-response,121,197975,0.0-1.0-166.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.0,1.5,,
122,,feedback,,html-keyboard-response,122,198977,0.0-1.0-167.0-0.0,0,0,95248,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,136.0,1.0,,
123,,iti,,html-keyboard-response,123,200982,0.0-1.0-168.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.0,2.0,,
124,,rl_choice,,html-keyboard-response,124,201342,0.0-1.0-170.0,0,0,95248,,359.0,,,68.0,24.0,24.0,1.0,easy,2000.0,1000.0,1.0,80.0,20.0,100.0,20.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,1.0,80.0,20.0,100.0,20.0,A,B,0.0,138.359,0.359,,
