,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,condition,iti,isi,high_group_on_left,left_group_value,right_group_value,left_item_value,right_item_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_group_value,unchosen_group_value,chosen_item_value,unchosen_item_value,chosen_img,unchosen_img,onset,duration,no_response
20,,isi,,html-keyboard-response,20,34564,0.0-1.0-26.0,0,0,12,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,23.5,3.5,
21,,feedback,,html-keyboard-response,21,35567,0.0-1.0-27.0-0.0,0,0,12,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,24.5,1.0,
22,,iti,,html-keyboard-response,22,36570,0.0-1.0-28.0,0,0,12,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,25.5,1.0,
23,,rl_choice,,html-keyboard-response,23,38074,0.0-1.0-30.0,0,0,12,,,,,,4.0,4.0,1.0,hard,1500.0,3000.0,0.0,40.0,60.0,20.0,60.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,,,,,,,,27.0,1.5,1.0
24,,rl_choice_warning,,html-keyboard-response,24,39079,0.0-1.0-32.0-0.0,0,0,12,,,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,28.0,1.0,
25,,isi,,html-keyboard-response,25,42085,0.0-1.0-33.0,0,0,12,,,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,31.0,3.0,
26,,iti,,html-keyboard-response,26,43589,0.0-1.0-35.0,0,0,12,,,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,32.5,1.5,
27,,rl_choice,,html-keyboard-response,27,45094,0.0-1.0-37.0,0,0,12,,,,,,5.0,5.0,1.0,easy,2000.0,2000.0,0.0,20.0,80.0,20.0,100.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,,,,,,,,34.0,1.5,1.0
28,,rl_choice_warning,,html-keyboard-response,28,46099,0.0-1.0-39.0-0.0,0,0,12,,,,,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,35.0,1.0,
29,,isi,,html-keyboard-response,29,48104,0.0-1.0-40.0,0,0,12,,,,,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,37.0,2.0,
30,,iti,,html-keyboard-response,30,50109,0.0-1.0-42.0,0,0,12,,,,,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,39.0,2.0,
31,,rl_choice,,html-keyboard-response,31,51613,0.0-1.0-44.0,0,0,12,,,,,,6.0,6.0,1.0,hard,1000.0,1000.0,0.0,40.0,60.0,40.0,80.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,,,,,,,,40.5,1.5,1.0
32,,rl_choice_warning,,html-keyboard-response,32,52618,0.0-1.0-46.0-0.0,0,0,12,,,,,,6.0,,1.0,,,,,,,,,,,,,,,,,,,,41.5,1.0,
33,,isi,,html-keyboard-response,33,53624,0.0-1.0-47.0,0,0,12,,,,,,6.0,,1.0,,,,,,,,,,,,,,,,,,,,42.5,1.0,
34,,iti,,html-keyboard-response,34,54629,0.0-1.0-49.0,0,0,12,,,,,,6.0,,1.0,,,,,,,,,,,,,,,,,,,,43.5,1.0,
35,,rl_choice,,html-keyboard-response,35,56135,0.0-1.0-51.0,0,0,12,,,,,,7.0,7.0,1.0,hard,1500.0,1000.0,0.0,40.0,60.0,60.0,80.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,,,,,,,,45.0,1.5,1.0
36,,rl_choice_warning,,html-keyboard-response,36,57139,0.0-1.0-53.0-0.0,0,0,12,,,,,,7.0,,1.0,,,,,,,,,,,,,,,,,,,,46.0,1.0,
37,,isi,,html-keyboard-response,37,58142,0.0-1.0-54.0,0,0,12,,,,,,7.0,,1.0,,,,,,,,,,,,,,,,,,,,47.0,1.0,
38,,iti,,html-keyboard-response,38,59646,0.0-1.0-56.0,0,0,12,,,,,,7.0,,1.0,,,,,,,,,,,,,,,,,,,,48.5,1.5,
39,,rl_choice,,html-keyboard-response,39,61148,0.0-1.0-58.0,0,0,12,,,,,,8.0,8.0,1.0,easy,1500.0,2000.0,0.0,20.0,80.0,0.0,100.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,,,,,,,,50.0,1.5,1.0
40,,rl_choice_warning,,html-keyboard-response,40,62151,0.0-1.0-60.0-0.0,0,0,12,,,,,,8.0,,1.0,,,,,,,,,,,,,,,,,,,,51.0,1.0,
41,,isi,,html-keyboard-response,41,64157,0.0-1.0-61.0,0,0,12,,,,,,8.0,,1.0,,,,,,,,,,,,,,,,,,,,53.0,2.0,
42,,iti,,html-keyboard-response,42,65659,0.0-1.0-63.0,0,0,12,,,,,,8.0,,1.0,,,,,,,,,,,,,,,,,,,,54.5,1.5,
43,,rl_choice,,html-keyboard-response,43,67164,0.0-1.0-65.0,0,0,12,,,,,,9.0,9.0,1.0,easy,2000.0,1000.0,1.0,80.0,20.0,60.0,0.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,,,,,,,,56.0,1.5,1.0
44,,rl_choice_warning,,html-keyboard-response,44,68167,0.0-1.0-67.0-0.0,0,0,12,,,,,,9.0,,1.0,,,,,,,,,,,,,,,,,,,,57.0,1.0,
45,,isi,,html-keyboard-response,45,69171,0.0-1.0-68.0,0,0,12,,,,,,9.0,,1.0,,,,,,,,,,,,,,,,,,,,58.0,1.0,
46,,iti,,html-keyboard-response,46,71174,0.0-1.0-70.0,0,0,12,,,,,,9.0,,1.0,,,,,,,,,,,,,,,,,,,,60.0,2.0,
47,,rl_choice,,html-keyboard-response,47,71314,0.0-1.0-72.0,0,0,12,,138.0,,,50.0,10.0,10.0,1.0,hard,1000.0,1000.0,1.0,60.0,40.0,40.0,40.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,1.0,60.0,40.0,40.0,40.0,D,C,60.138000000000005,0.138,0.0
48,,rl_choice_confirmation,,html-keyboard-response,48,72681,0.0-1.0-73.0-0.0,0,0,12,,,,,,10.0,,1.0,,,,,,,,,,,,,,,,,,,,61.5,1.3619999999999999,
49,,isi,,html-keyboard-response,49,73684,0.0-1.0-75.0,0,0,12,,,,,,10.0,,1.0,,,,,,,,,,,,,,,,,,,,62.5,1.0,
50,,feedback,,html-keyboard-response,50,74688,0.0-1.0-76.0-0.0,0,0,12,,,,,,10.0,,1.0,,,,,,,,,,,,,,,,,,,,63.5,1.0,
51,,iti,,html-keyboard-response,51,75694,0.0-1.0-77.0,0,0,12,,,,,,10.0,,1.0,,,,,,,,,,,,,,,,,,,,64.5,1.0,
52,,rl_choice,,html-keyboard-response,52,77196,0.0-1.0-79.0,0,0,12,,,,,,11.0,11.0,1.0,easy,1000.0,3000.0,0.0,20.0,80.0,20.0,60.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,,,,,,,,66.0,1.5,1.0
53,,rl_choice_warning,,html-keyboard-response,53,78201,0.0-1.0-81.0-0.0,0,0,12,,,,,,11.0,,1.0,,,,,,,,,,,,,,,,,,,,67.0,1.0,
54,,isi,,html-keyboard-response,54,81205,0.0-1.0-82.0,0,0,12,,,,,,11.0,,1.0,,,,,,,,,,,,,,,,,,,,70.0,3.0,
55,,iti,,html-keyboard-response,55,82210,0.0-1.0-84.0,0,0,12,,,,,,11.0,,1.0,,,,,,,,,,,,,,,,,,,,71.0,1.0,
56,,rl_choice,,html-keyboard-response,56,83714,0.0-1.0-86.0,0,0,12,,,,,,12.0,12.0,1.0,easy,3000.0,1500.0,0.0,20.0,80.0,20.0,80.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,,,,,,,,72.5,1.5,1.0
57,,rl_choice_warning,,html-keyboard-response,57,84717,0.0-1.0-88.0-0.0,0,0,12,,,,,,12.0,,1.0,,,,,,,,,,,,,,,,,,,,73.5,1.0,
58,,isi,,html-keyboard-response,58,86220,0.0-1.0-89.0,0,0,12,,,,,,12.0,,1.0,,,,,,,,,,,,,,,,,,,,75.0,1.5,
59,,iti,,html-keyboard-response,59,89227,0.0-1.0-91.0,0,0,12,,,,,,12.0,,1.0,,,,,,,,,,,,,,,,,,,,78.0,3.0,
60,,rl_choice,,html-keyboard-response,60,90733,0.0-1.0-93.0,0,0,12,,,,,,13.0,13.0,1.0,hard,1000.0,2000.0,0.0,40.0,60.0,40.0,80.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,,,,,,,,79.5,1.5,1.0
61,,rl_choice_warning,,html-keyboard-response,61,91735,0.0-1.0-95.0-0.0,0,0,12,,,,,,13.0,,1.0,,,,,,,,,,,,,,,,,,,,80.5,1.0,
62,,isi,,html-keyboard-response,62,93741,0.0-1.0-96.0,0,0,12,,,,,,13.0,,1.0,,,,,,,,,,,,,,,,,,,,82.5,2.0,
63,,iti,,html-keyboard-response,63,94748,0.0-1.0-98.0,0,0,12,,,,,,13.0,,1.0,,,,,,,,,,,,,,,,,,,,83.5,1.0,
64,,rl_choice,,html-keyboard-response,64,96253,0.0-1.0-100.0,0,0,12,,,,,,14.0,14.0,1.0,easy,1500.0,1500.0,0.0,20.0,80.0,20.0,80.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,,,,,,,,85.0,1.5,1.0
65,,rl_choice_warning,,html-keyboard-response,65,97258,0.0-1.0-102.0-0.0,0,0,12,,,,,,14.0,,1.0,,,,,,,,,,,,,,,,,,,,86.0,1.0,
66,,isi,,html-keyboard-response,66,98760,0.0-1.0-103.0,0,0,12,,,,,,14.0,,1.0,,,,,,,,,,,,,,,,,,,,87.5,1.5,
67,,iti,,html-keyboard-response,67,100267,0.0-1.0-105.0,0,0,12,,,,,,14.0,,1.0,,,,,,,,,,,,,,,,,,,,89.0,1.5,
68,,rl_choice,,html-keyboard-response,68,101774,0.0-1.0-107.0,0,0,12,,,,,,15.0,15.0,1.0,hard,1500.0,2000.0,1.0,60.0,40.0,40.0,60.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,,,,,,,,90.5,1.5,1.0
69,,rl_choice_warning,,html-keyboard-response,69,102776,0.0-1.0-109.0-0.0,0,0,12,,,,,,15.0,,1.0,,,,,,,,,,,,,,,,,,,,91.5,1.0,
70,,isi,,html-keyboard-response,70,104782,0.0-1.0-110.0,0,0,12,,,,,,15.0,,1.0,,,,,,,,,,,,,,,,,,,,93.5,2.0,
71,,iti,,html-keyboard-response,71,106284,0.0-1.0-112.0,0,0,12,,,,,,15.0,,1.0,,,,,,,,,,,,,,,,,,,,95.0,1.5,
72,,rl_choice,,html-keyboard-response,72,107787,0.0-1.0-114.0,0,0,12,,,,,,16.0,16.0,1.0,hard,1000.0,1000.0,1.0,60.0,40.0,60.0,60.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,,,,,,,,96.5,1.5,1.0
73,,rl_choice_warning,,html-keyboard-response,73,108792,0.0-1.0-116.0-0.0,0,0,12,,,,,,16.0,,1.0,,,,,,,,,,,,,,,,,,,,97.5,1.0,
74,,isi,,html-keyboard-response,74,109797,0.0-1.0-117.0,0,0,12,,,,,,16.0,,1.0,,,,,,,,,,,,,,,,,,,,98.5,1.0,
75,,iti,,html-keyboard-response,75,110802,0.0-1.0-119.0,0,0,12,,,,,,16.0,,1.0,,,,,,,,,,,,,,,,,,,,99.5,1.0,
76,,rl_choice,,html-keyboard-response,76,112304,0.0-1.0-121.0,0,0,12,,,,,,17.0,17.0,1.0,easy,3000.0,1500.0,1.0,80.0,20.0,60.0,20.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,,,,,,,,101.0,1.5,1.0
77,,rl_choice_warning,,html-keyboard-response,77,113310,0.0-1.0-123.0-0.0,0,0,12,,,,,,17.0,,1.0,,,,,,,,,,,,,,,,,,,,102.0,1.0,
78,,isi,,html-keyboard-response,78,114816,0.0-1.0-124.0,0,0,12,,,,,,17.0,,1.0,,,,,,,,,,,,,,,,,,,,103.5,1.5,
79,,iti,,html-keyboard-response,79,117819,0.0-1.0-126.0,0,0,12,,,,,,17.0,,1.0,,,,,,,,,,,,,,,,,,,,106.5,3.0,
80,,rl_choice,,html-keyboard-response,80,119325,0.0-1.0-128.0,0,0,12,,,,,,18.0,18.0,1.0,hard,3500.0,1500.0,1.0,60.0,40.0,60.0,60.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,,,,,,,,108.0,1.5,1.0
81,,rl_choice_warning,,html-keyboard-response,81,120329,0.0-1.0-130.0-0.0,0,0,12,,,,,,18.0,,1.0,,,,,,,,,,,,,,,,,,,,109.0,1.0,
82,,isi,,html-keyboard-response,82,121833,0.0-1.0-131.0,0,0,12,,,,,,18.0,,1.0,,,,,,,,,,,,,,,,,,,,110.5,1.5,
83,,iti,,html-keyboard-response,83,125340,0.0-1.0-133.0,0,0,12,,,,,,18.0,,1.0,,,,,,,,,,,,,,,,,,,,114.0,3.5,
84,,rl_choice,,html-keyboard-response,84,126842,0.0-1.0-135.0,0,0,12,,,,,,19.0,19.0,1.0,hard,2000.0,1500.0,1.0,60.0,40.0,60.0,20.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,,,,,,,,115.5,1.5,1.0
85,,rl_choice_warning,,html-keyboard-response,85,127848,0.0-1.0-137.0-0.0,0,0,12,,,,,,19.0,,1.0,,,,,,,,,,,,,,,,,,,,116.5,1.0,
86,,isi,,html-keyboard-response,86,129350,0.0-1.0-138.0,0,0,12,,,,,,19.0,,1.0,,,,,,,,,,,,,,,,,,,,118.0,1.5,
87,,iti,,html-keyboard-response,87,131356,0.0-1.0-140.0,0,0,12,,,,,,19.0,,1.0,,,,,,,,,,,,,,,,,,,,120.0,2.0,
88,,rl_choice,,html-keyboard-response,88,132859,0.0-1.0-142.0,0,0,12,,,,,,20.0,20.0,1.0,easy,2000.0,1000.0,1.0,80.0,20.0,80.0,20.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,,,,,,,,121.5,1.5,1.0
89,,rl_choice_warning,,html-keyboard-response,89,133862,0.0-1.0-144.0-0.0,0,0,12,,,,,,20.0,,1.0,,,,,,,,,,,,,,,,,,,,122.5,1.0,
90,,isi,,html-keyboard-response,90,134867,0.0-1.0-145.0,0,0,12,,,,,,20.0,,1.0,,,,,,,,,,,,,,,,,,,,123.5,1.0,
91,,iti,,html-keyboard-response,91,136871,0.0-1.0-147.0,0,0,12,,,,,,20.0,,1.0,,,,,,,,,,,,,,,,,,,,125.5,2.0,
92,,rl_choice,,html-keyboard-response,92,138377,0.0-1.0-149.0,0,0,12,,,,,,21.0,21.0,1.0,easy,1500.0,2000.0,1.0,80.0,20.0,80.0,20.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,,,,,,,,127.0,1.5,1.0
93,,rl_choice_warning,,html-keyboard-response,93,139383,0.0-1.0-151.0-0.0,0,0,12,,,,,,21.0,,1.0,,,,,,,,,,,,,,,,,,,,128.0,1.0,
94,,isi,,html-keyboard-response,94,141386,0.0-1.0-152.0,0,0,12,,,,,,21.0,,1.0,,,,,,,,,,,,,,,,,,,,130.0,2.0,
95,,iti,,html-keyboard-response,95,142891,0.0-1.0-154.0,0,0,12,,,,,,21.0,,1.0,,,,,,,,,,,,,,,,,,,,131.5,1.5,
96,,rl_choice,,html-keyboard-response,96,144393,0.0-1.0-156.0,0,0,12,,,,,,22.0,22.0,1.0,easy,1000.0,1000.0,0.0,20.0,80.0,0.0,100.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,,,,,,,,133.0,1.5,1.0
97,,rl_choice_warning,,html-keyboard-response,97,145396,0.0-1.0-158.0-0.0,0,0,12,,,,,,22.0,,1.0,,,,,,,,,,,,,,,,,,,,134.0,1.0,
98,,isi,,html-keyboard-response,98,146398,0.0-1.0-159.0,0,0,12,,,,,,22.0,,1.0,,,,,,,,,,,,,,,,,,,,135.0,1.0,
99,,iti,,html-keyboard-response,99,147404,0.0-1.0-161.0,0,0,12,,,,,,22.0,,1.0,,,,,,,,,,,,,,,,,,,,136.0,1.0,
100,,rl_choice,,html-keyboard-response,100,148906,0.0-1.0-163.0,0,0,12,,,,,,23.0,23.0,1.0,hard,2000.0,1000.0,1.0,60.0,40.0,80.0,60.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,,,,,,,,137.5,1.5,1.0
101,,rl_choice_warning,,html-keyboard-response,101,149911,0.0-1.0-165.0-0.0,0,0,12,,,,,,23.0,,1.0,,,,,,,,,,,,,,,,,,,,138.5,1.0,
102,,isi,,html-keyboard-response,102,150917,0.0-1.0-166.0,0,0,12,,,,,,23.0,,1.0,,,,,,,,,,,,,,,,,,,,139.5,1.0,
103,,iti,,html-keyboard-response,103,152922,0.0-1.0-168.0,0,0,12,,,,,,23.0,,1.0,,,,,,,,,,,,,,,,,,,,141.5,2.0,
104,,rl_choice,,html-keyboard-response,104,154429,0.0-1.0-170.0,0,0,12,,,,,,24.0,24.0,1.0,hard,1000.0,3000.0,1.0,60.0,40.0,40.0,60.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,,,,,,,,143.0,1.5,1.0
105,,rl_choice_warning,,html-keyboard-response,105,155431,0.0-1.0-172.0-0.0,0,0,12,,,,,,24.0,,1.0,,,,,,,,,,,,,,,,,,,,144.0,1.0,
106,,isi,,html-keyboard-response,106,158437,0.0-1.0-173.0,0,0,12,,,,,,24.0,,1.0,,,,,,,,,,,,,,,,,,,,147.0,3.0,
107,,iti,,html-keyboard-response,107,159443,0.0-1.0-175.0,0,0,12,,,,,,24.0,,1.0,,,,,,,,,,,,,,,,,,,,148.0,1.0,
108,,rl_choice,,html-keyboard-response,108,160945,0.0-1.0-177.0,0,0,12,,,,,,25.0,25.0,1.0,hard,2000.0,1000.0,1.0,60.0,40.0,40.0,40.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,,,,,,,,149.5,1.5,1.0
109,,rl_choice_warning,,html-keyboard-response,109,161948,0.0-1.0-179.0-0.0,0,0,12,,,,,,25.0,,1.0,,,,,,,,,,,,,,,,,,,,150.5,1.0,
110,,isi,,html-keyboard-response,110,162953,0.0-1.0-180.0,0,0,12,,,,,,25.0,,1.0,,,,,,,,,,,,,,,,,,,,151.5,1.0,
111,,iti,,html-keyboard-response,111,164959,0.0-1.0-182.0,0,0,12,,,,,,25.0,,1.0,,,,,,,,,,,,,,,,,,,,153.5,2.0,
112,,rl_choice,,html-keyboard-response,112,165131,0.0-1.0-184.0,0,0,12,,170.0,,,50.0,26.0,26.0,1.0,easy,1000.0,1000.0,1.0,80.0,20.0,100.0,20.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,1.0,80.0,20.0,100.0,20.0,B,A,153.67,0.17,0.0
113,,rl_choice_confirmation,,html-keyboard-response,113,166465,0.0-1.0-185.0-0.0,0,0,12,,,,,,26.0,,1.0,,,,,,,,,,,,,,,,,,,,155.0,1.33,
114,,isi,,html-keyboard-response,114,167471,0.0-1.0-187.0,0,0,12,,,,,,26.0,,1.0,,,,,,,,,,,,,,,,,,,,156.0,1.0,
115,,feedback,,html-keyboard-response,115,168477,0.0-1.0-188.0-0.0,0,0,12,,,,,,26.0,,1.0,,,,,,,,,,,,,,,,,,,,157.0,1.0,
116,,iti,,html-keyboard-response,116,169482,0.0-1.0-189.0,0,0,12,,,,,,26.0,,1.0,,,,,,,,,,,,,,,,,,,,158.0,1.0,
117,,rl_choice,,html-keyboard-response,117,170984,0.0-1.0-191.0,0,0,12,,,,,,27.0,27.0,1.0,hard,1000.0,1500.0,0.0,40.0,60.0,20.0,80.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,,,,,,,,159.5,1.5,1.0
118,,rl_choice_warning,,html-keyboard-response,118,171987,0.0-1.0-193.0-0.0,0,0,12,,,,,,27.0,,1.0,,,,,,,,,,,,,,,,,,,,160.5,1.0,
119,,isi,,html-keyboard-response,119,173493,0.0-1.0-194.0,0,0,12,,,,,,27.0,,1.0,,,,,,,,,,,,,,,,,,,,162.0,1.5,
120,,iti,,html-keyboard-response,120,174498,0.0-1.0-196.0,0,0,12,,,,,,27.0,,1.0,,,,,,,,,,,,,,,,,,,,163.0,1.0,
121,,rl_choice,,html-keyboard-response,121,176005,0.0-1.0-198.0,0,0,12,,,,,,28.0,28.0,1.0,hard,1500.0,1500.0,0.0,40.0,60.0,40.0,40.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,,,,,,,,164.5,1.5,1.0
122,,rl_choice_warning,,html-keyboard-response,122,177011,0.0-1.0-200.0-0.0,0,0,12,,,,,,28.0,,1.0,,,,,,,,,,,,,,,,,,,,165.5,1.0,
123,,isi,,html-keyboard-response,123,178513,0.0-1.0-201.0,0,0,12,,,,,,28.0,,1.0,,,,,,,,,,,,,,,,,,,,167.0,1.5,
124,,iti,,html-keyboard-response,124,180016,0.0-1.0-203.0,0,0,12,,,,,,28.0,,1.0,,,,,,,,,,,,,,,,,,,,168.5,1.5,
